id,parentid,text,value
0,,打开主菜单,0
c1,0,,4
c1-1,c1,太平洋,4
c1-2,c1,气旋季,4
c1-3,c1,热带,4
c1-4,c1,气旋,4
c1-5,c1,全季,4
c1-6,c1,乔伊,4
c1-7,c1,语言,4
c1-8,c1,盆地,4
c1-9,c1,编辑,4
c1-10,c1,价值,4
c2,0,,4
c2-1,c2,热带,4
c2-2,c2,气旋,4
c2-3,c2,中心,4
c2-4,c2,警报,4
c2-5,c2,太平洋,4
c2-6,c2,风速,4
c2-7,c2,系统,4
c2-8,c2,气旋季,4
c2-9,c2,海洋学,4
c2-10,c2,海军,4
c3,0,,4
c3-1,c3,热带,4
c3-2,c3,太平洋,4
c3-3,c3,气旋,4
c3-4,c3,强度,4
c3-5,c3,系统,4
c3-6,c3,弱,4
c3-7,c3,澳大利亚,4
c3-8,c3,低,4
c3-9,c3,东经,4
c3-10,c3,盆地,4
c4,0,,4
c4-1,c4,热带,4
c4-2,c4,月,4
c4-3,c4,低,4
c4-4,c4,太平洋,4
c4-5,c4,强度,4
c4-6,c4,气旋,4
c4-7,c4,系统,4
c4-8,c4,中心,4
c4-9,c4,警报,4
c4-10,c4,台风,4
c5,0,,4
c5-1,c5,气旋,4
c5-2,c5,热带,4
c5-3,c5,方向,4
c5-4,c5,强度,4
c5-5,c5,警报,4
c5-6,c5,西纳,4
c5-7,c5,斐济,4
c5-8,c5,中心,4
c5-9,c5,楠,4
c5-10,c5,强烈,4
c6,0,,4
c6-1,c6,西纳,4
c6-2,c6,气旋,4
c6-3,c6,强度,4
c6-4,c6,海面,4
c6-5,c6,热带,4
c6-6,c6,最高,4
c6-7,c6,风切变,4
c6-8,c6,温度,4
c6-9,c6,中心,4
c6-10,c6,温带,4
c7,0,,4
c7-1,c7,斐济,4
c7-2,c7,种植者,4
c7-3,c7,建筑物,4
c7-4,c7,西纳,4
c7-5,c7,汤加,4
c7-6,c7,树木,4
c7-7,c7,桥,4
c7-8,c7,纽埃,4
c7-9,c7,铁路桥,4
c7-10,c7,甘蔗,4
c8,0,,4
c8-1,c8,气旋,4
c8-2,c8,热带,4
c8-3,c8,月,4
c8-4,c8,方向,4
c8-5,c8,瓦努阿图,4
c8-6,c8,丽莎,4
c8-7,c8,警报,4
c8-8,c8,中心,4
c8-9,c8,强度,4
c8-10,c8,系统,4
c9,0,,4
c9-1,c9,月,4
c9-2,c9,系统,4
c9-3,c9,热带,4
c9-4,c9,太平洋,4
c9-5,c9,台风,4
c9-6,c9,方向,4
c9-7,c9,海域,4
c9-8,c9,澳大利亚,4
c9-9,c9,警报,4
c9-10,c9,中心,4
c10,0,,4
c10-1,c10,太平洋,4
c10-2,c10,所有,4
c10-3,c10,热带,4
c10-4,c10,表格,4
c10-5,c10,气旋,4
c10-6,c10,	编辑,4
c10-7,c10,季节,4
c10-8,c10,气旋季,4
c10-9,c10,数据,4
c10-10,c10,赤道,4
11,0,,4
12,0,,4
13,0,,4
c11,0,,4
c11-1,c11,太平洋,4
c11-2,c11,热带,4
c11-3,c11,气旋,4
c11-4,c11,天气,4
c11-5,c11,系统,4
c11-6,c11,		,4
c11-7,c11,气旋季,4
c11-8,c11,印度洋,4
c11-9,c11,气象,4
c11-10,c11,南纬,4
c12,0,,4
c12-1,c12,页面,4
c12-2,c12,	外部链,4
c12-3,c12,大,4
c12-4,c12,台风,4
c12-5,c12,气象局,4
c12-6,c12,资料,4
c12-7,c12,风速,4
c12-8,c12,艾云尼,4
c12-9,c12,斐济,4
c12-10,c12,气,4
