id,parentid,text,value
0,,打开主菜单,0
1,0,太平洋/气旋季/热带/气旋/全季/乔伊/语言/盆地/编辑/价值,4
2,0,热带/气旋/中心/警报/太平洋/风速/系统/气旋季/海洋学/海军,4
3,0,热带/太平洋/气旋/强度/系统/弱/澳大利亚/低/东经/盆地,4
4,0,热带/月/低/太平洋/强度/气旋/系统/中心/警报/台风,4
5,0,气旋/热带/方向/强度/警报/西纳/斐济/中心/楠/强烈,4
6,0,西纳/气旋/强度/海面/热带/最高/风切变/温度/中心/温带,4
7,0,斐济/种植者/建筑物/西纳/汤加/树木/桥/纽埃/铁路桥/甘蔗,4
8,0,气旋/热带/月/方向/瓦努阿图/丽莎/警报/中心/强度/系统,4
9,0,月/系统/热带/太平洋/台风/方向/海域/澳大利亚/警报/中心,4
10,0,太平洋/所有/热带/表格/气旋/	编辑/季节/气旋季/数据/赤道,4
11,0,,4
12,0,,4
13,0,,4
14,0,太平洋/热带/气旋/天气/系统/		/气旋季/印度洋/气象/南纬,4
15,0,页面/	外部链/大/台风/气象局/资料/风速/艾云尼/斐济/气,4
