id,parentid,text,value
0,,Europe,0
c1,0,,4
c1-1,c1,the,4
c1-2,c1,uses,4
c1-3,c1,free,4
c1-4,c1,union,4
c1-5,c1,see,4
2,0,,4
c2,0,,4
c2-1,c2,sq,4
c2-2,c2,km2,4
c2-3,c2,mi,4
c2-4,c2,Area	,4
c2-5,c2,6th,4
c2-6,c2,3rd,4
4,0,6 with limited recognition,1
c3,4,,4
c3-1,c3,the,4
c3-2,c3,Largest,4
c3-3,c3,is,4
c3-4,c3,The,4
c3-5,c3,5Largest,4
c3-6,c3,Asia,4
c3-7,c3,Russian,4
c3-8,c3,urban,4
c3-9,c3,by,4
c3-10,c3,are,4
c4,4,,4
c4-1,c4,of,4
c4-2,c4,the,4
c4-3,c4,Russian,4
c4-4,c4,largest,4
c4-5,c4,square,4
c4-6,c4,had,4
c4-7,c4,area,4
c5,4,,4
c5-1,c5,the,4
c5-2,c5,by,4
c5-3,c5,largely,4
c5-4,c5,warm,4
c5-5,c5,The,4
c5-6,c5,sea,4
c5-7,c5,of,4
c5-8,c5,even,4
c5-9,c5,are,4
c5-10,c5,from,4
c6,4,,4
c6-1,c6,the,4
c6-2,c6,of,4
c6-3,c6,was,4
c6-4,c6,at,4
c6-5,c6,times,4
c6-6,c6,end,4
c6-7,c6,marked,4
c6-8,c6,history,4
c6-9,c6,Between,4
c6-10,c6,art,4
c7,4,,4
c7-1,c7,the,4
c7-2,c7,of,4
c7-3,c7,century,4
c7-4,c7,at,4
c7-5,c7,began,4
c7-6,c7,Industrial,4
c7-7,c7,end,4
c7-8,c7,west,4
c7-9,c7,between,4
c7-10,c7,Iron,4
c8,4,,4
c8-1,c8,the,4
c8-2,c8,of,4
c8-3,c8,The,4
c8-4,c8,for,4
c8-5,c8,but,4
c8-6,c8,EU,4
c8-7,c8,has,4
c8-8,c8,by,4
c8-9,c8,been,4
c8-10,c8,on,4
11,4,,4
12,0,1	Name,1
13,0,2	Definition,1
14,13,2.1	Contemporary definition,2
15,13,2.2	History of the concept,2
16,15,2.2.1	Early history,3
17,15,2.2.2	Modern definitions,3
18,0,3	History,1
19,18,3.1	Prehistory,2
20,18,3.2	Classical antiquity,2
