id,parentid,text,value
0,,Europe,0
1,0,the/uses/free/union/see,4
2,0,,4
3,0,sq/km2/mi/Area	/6th/3rd,4
4,0,6 with limited recognition,1
5,4,the/Largest/is/The/5Largest/Asia/Russian/urban/by/are,4
6,4,of/the/Russian/largest/square/had/area,4
7,4,the/by/largely/warm/The/sea/of/even/are/from,4
8,4,the/of/was/at/times/end/marked/history/Between/art,4
9,4,the/of/century/at/began/Industrial/end/west/between/Iron,4
10,4,the/of/The/for/but/EU/has/by/been/on,4
11,4,,4
12,0,1	Name,1
13,0,2	Definition,1
14,13,2.1	Contemporary definition,2
15,13,2.2	History of the concept,2
16,15,2.2.1	Early history,3
17,15,2.2.2	Modern definitions,3
18,0,3	History,1
19,18,3.1	Prehistory,2
20,18,3.2	Classical antiquity,2
21,18,3.3	Early Middle Ages,2
22,18,3.4	High and Late Middle Ages,2
23,18,3.5	Early modern period,2
24,23,3.6	18th and 19th centuries,3
25,23,3.7	20th century to the present,3
26,0,4	Geography,1
27,26,4.1	Climate,2
28,26,4.2	Geology,2
29,26,4.3	Flora,2
30,26,4.4	Fauna,2
31,0,5	Politics,1
32,0,6	List of states and territories,1
33,0,7	Economy,1
34,33,7.1	Economic history,2
35,0,8	Demographics,1
36,35,8.1	Ethnic groups,2
37,35,8.2	Migration,2
38,35,8.3	Languages,2
39,0,9	Culture,1
40,39,9.1	Religion,2
41,40,the/Greek/p/In/ē/εὐ/has/been/or/ρύς,4
42,40,the/of/Greek/ē/p/os/there/t/been/these,4
43,40,the/from/use/shū/欧州/is/of/used/uzhō/歐洲,4
44,40,,4
45,40,,4
46,40,,4
47,40,Austria/Belarus,4
48,40,UK/Estonia/Denmark/Gib,4
49,40,UK/Lux/Russia/Mon,4
50,40,,4
51,40,the/Sea/Bay/of/be/taken/term/as/has/diz,4
52,40,the/are/was/an/but/Asia/or/nearest/is/be,4
53,40,used/may,4
54,40,,4
55,40,the/of/a/by/ē/from/is/p/usage/three,4
56,40,the/era/by/Ages/of/usage/such/took/The/used,4
57,40,the/of/term/used/time/for/is/that/century,4
58,40,the/of/century/Latin/dubious/new/discuss/The/figures/Alcuin,4
59,40,,4
60,40,the/regina/of/question/began/Queen/Asia,4
61,40,the/Sea/by/where/century/division/at/of/now/bend,4
62,40,the/was/von/Johan/from/Don/by/drainage/between/Ural,4
63,40,the/Sea/The/Don/Russian/Peter/circa/by/upon/was,4
64,40,the/Don/of/as/century/The/there/three/y/Ural,4
65,40,the/then/Ural/Asia/In/from/be/drawn/Bay/Union,4
66,40,,4
67,40,years/the/ago/who/thousand/by/from/due/man/is,4
68,40,the/from,4
69,40,,4
70,40,the/by/from/disk/of/sky/Nebra/these/was/at,4
71,40,the/Age/Iron/by/around/The/from/who/8th/rise,4
72,40,the/of/was/that/The/Greek/Greeks/Persian/Parthenon/years,4
73,40,the/The/Augustus/base/their/by/greatest/from/3rd/mark,4
74,40,the/of/The/by/Constantine/was/Antoninus/as/Pius/three,4
75,40,the/from/of/Dark/few/Franks/Petrarch/Huns/safeguard/such,4
76,40,the/legal/he/age/Justinian/that/Hagia/was/brought/as,4
77,40,,4
78,40,the/The/of/century/by/then/siege/mid/areas/brought,4
79,40,the/of/who/had/Ages/fell/was/Dark/by/various,4
80,40,the/Great/century/largest/of/way/Kievan/Kiev/Rus/In,4
81,40,,4
82,40,the/of/by/year/on/The/High/Ages/development/between,4
83,40,,4
84,40,the/The/of/from/Ages/by/two/led/Magna/between,4
85,40,the/crusade/Urban/of/In/height/seven/The/n/rule,4
86,40,the/was/from/when/fell/resurgent/largest/taken/city/defeat,4
87,40,by/of/The/Batu/Khan/the,4
88,40,the/of/Ivan/these/by/The/grew/Grand/Great/from,4
89,40,the/The/of/between/crisis/human/Great/an/that/by,4
90,40,the/than/The/led/was/had/every/by/century/beggars,4
91,40,,4
92,40,by/of/The/such/Vinci/are,4
93,40,the/of/The/from/new/by/saw/between/was/art,4
94,40,the/century/caused/had,4
95,40,the,4
96,40,the/of/by/The/In/between/Peace,4
97,40,the/of/central/by/than/200-year/century/Russia/Vienna/siege,4
98,40,the/of/New/century/arose/and/time/took/ocean/figures,4
99,40,,4
100,40,Armé/had/from/retreat/Russia/lost,4
101,40,the/of/by/The/saw/that/as/Vienna/movement/was,4
102,40,the/of/War/Greek/marked/Serbian/from/seemed/Habsburg/grew,4
103,40,,4
104,40,the/from/of/In/caused/urban/The/in/new/Industrial,4
105,40,of/the/o/V/Austria-Hungary/Franz/right/f,4
106,40,,4
107,40,the/war/was/fought/Austria/Franz/when/than/The/drawn,4
108,40,Serbian/war/the,4
109,40,the/War/of/The/into/upon/Russian/broke/Russia/Austria-Hungary,4
110,40,the/War/Great/Purge/Russian/grain/of/for/In/Russia,4
111,40,the/The/War/by/of/Great/Russia/Austrian/Weimar/caused,4
112,40,the/by/In/was/began/year/of/Austria/that/into,4
113,40,the/on/but/send/their/at/war/was/same/time,4
114,40,the/on/began/August/Pearl/y/drew/In/December/through,4
115,40,the/at/Three/Big/from/Winston,4
116,40,the/War/post-war/was/largest/war/had/of/The/Union,4
117,40,the/War/by/map/NATO/The/at/two/was/Union,4
118,40,the/of/began/The/Ministry/Steel,4
119,40,the/of/time/had/same/War/new/two/movement/end,4
120,40,the/of/by/flag/for,4
121,40,the/grew/The/In/central/EU/Steel/bank/between/of,4
122,40,the/of/variation/great/than/has/are/Ocean/high/heart,4
123,40,the/like/Iberian/ocean/Peninsula/are/areas/that/rising/such,4
124,40,,4
125,40,,4
126,40,the/The/but/warm/not/areas/same/winds/because/from,4
127,40,the/on/average/higher/than/same/F/part/Russia/in,4
128,40,,4
129,40,the/years/ago/Elbrus/Russia/is/up/The/of/around,4
130,40,the/of/are/from/by/The/between/hugely/Ireland/rise,4
131,40,the/of/continent/may/The/from,4
132,40,the/by/been/Russia/few/of/areas/man/are,4
133,40,,4
134,40,the/are/of/been/not/Few/warm/grazed/wind/large,4
135,40,,4
136,40,the/of/The/was/has/area/areas/now/but/from,4
137,40,the/taiga/are/In/Russia/The/central/trees/from/been,4
138,40,the/of/bear/brown/bears/caused/they/The/may/In,4
139,40,the/of/bison/now/great/Biał/on/between/Belarus,4
140,40,fox/the/like/cat/snakes/grass/hawks/of/prey,4
141,40,fish/like/are/roe/add/the/as,4
142,40,the/of/has/been/on/The,4
143,40,are/seas/crustaceans/fish/sea/fauna,4
144,40,the/been/by/of/as/well,4
145,40,,4
146,40,the/diagram/between,4
147,40,eleven/the/of/The/map/from/was/are,4
148,40,the/has/been/of/legal/War/as/The/end/social,4
149,40,the/are/Union/members/Benelux/Area/Visegrá/union,4
150,40,,4
151,40,suggested/been/that/has/be/out/into/List,4
152,40,,4
