id,parentid,text,value
0,,Five score years ago,
c1,0,,4
c1-1,c1,great,4
c1-2,c1,as,4
c1-3,c1,of,4
c1-4,c1,ago,4
c1-5,c1,light,4
c1-6,c1,years,4
c1-7,c1,we,4
c1-8,c1,Negro,4
c1-9,c1,end,4
c1-10,c1,to,4
c2,0,,4
c2-1,c2,the,4
c2-2,c2,Negro,4
c2-3,c2,years,4
c2-4,c2,of,4
c2-5,c2,by,4
c2-6,c2,on,4
c2-7,c2,one,4
c2-8,c2,an,4
c2-9,c2,his,4
c2-10,c2,own,4
c3,0,,4
c3-1,c3,you,4
c3-2,c3,of,4
c3-3,c3,from,4
c3-4,c3,the,4
c3-5,c3,by,4
c3-6,c3,areas,4
c3-7,c3,fresh,4
c3-8,c3,You,4
c3-9,c3,been,4
c3-10,c3,great,4
c4,0,,4
c4-1,c4,the,4
c4-2,c4,Louisiana,4
c4-3,c4,Go,4
c4-4,c4,of,4
c4-5,c4,Let,4
c4-6,c4,can,4
c4-7,c4,be,4
c5,0,,4
c5-1,c5,even,4
c5-2,c5,you,4
c5-3,c5,the,4
c5-4,c5,say,4
c5-5,c5,we,4
c5-6,c5,of,4
c5-7,c5,is,4
c5-8,c5,dream,4
c6,0,,4
c6-1,c6,that,4
c6-2,c6,one,4
c6-3,c6,day,4
c6-4,c6,nation,4
c6-5,c6,rise,4
c6-6,c6,up,4
c6-7,c6,the,4
c6-8,c6,these,4
c6-9,c6,true,4
c6-10,c6,of,4
c7,0,,4
c7-1,c7,the,4
c7-2,c7,of,4
c7-3,c7,one,4
c7-4,c7,that,4
c7-5,c7,dream,4
c7-6,c7,day,4
c7-7,c7,be,4
c7-8,c7,together,4
c7-9,c7,table,4
c8,0,,4
c8-1,c8,the,4
c8-2,c8,one,4
c8-3,c8,that,4
c8-4,c8,dream,4
c8-5,c8,day,4
c8-6,c8,heat,4
c8-7,c8,even,4
c8-8,c8,injustice,4
c8-9,c8,be,4
c8-10,c8,into,4
c9,0,,4
c9-1,c9,in,4
c9-2,c9,my,4
c9-3,c9,nation,4
c9-4,c9,dream,4
c9-5,c9,the,4
c9-6,c9,they,4
c9-7,c9,not,4
c9-8,c9,be,4
c9-9,c9,by,4
c9-10,c9,if,4
c10,0,,4
c10-1,c10,day,4
c10-2,c10,one,4
c10-3,c10,that,4
c10-4,c10,dream,4
c10-5,c10,his,4
c10-6,c10,the,4
c10-7,c10,of,4
c10-8,c10,right,4
c10-9,c10,be,4
c11,0,,4
c11-1,c11,be,4
c11-2,c11,the,4
c11-3,c11,every,4
c11-4,c11,one,4
c11-5,c11,that,4
c11-6,c11,dream,4
c11-7,c11,day,4
c11-8,c11,low,4
c11-9,c11,of,4
c11-10,c11,rough,4
c12,0,,4
c12-1,c12,together,4
c12-2,c12,be,4
c12-3,c12,the,4
c12-4,c12,that,4
c12-5,c12,pray,4
c12-6,c12,up,4
c12-7,c12,of,4
c12-8,c12,hew,4
c12-9,c12,out,4
c12-10,c12,is,4
c13,0,,4
c13-1,c13,be,4
c13-2,c13,day,4
c13-3,c13,when,4
c13-4,c13,the,4
c13-5,c13,of,4
c13-6,c13,new,4
c14,0,,4
c14-1,c14,thee,4
c14-2,c14,of,4
c14-3,c14,land,4
c14-4,c14,nation,4
c14-5,c14,great,4
c14-6,c14,must,4
c14-7,c14,the,4
c14-8,c14,Of,4
c14-9,c14,tis,4
c14-10,c14,from,4
c15,0,,4
c15-1,c15,the,4
c15-2,c15,from,4
c15-3,c15,heightening,4
c15-4,c15,mighty,4
c15-5,c15,of,4
c15-6,c15,New,4
c16,0,,4
c16-1,c16,not,4
c16-2,c16,from,4
c16-3,c16,the,4
c17,0,,4
c17-1,c17,from,4
c17-2,c17,every,4
c17-3,c17,of,4
c18,0,,4
c18-1,c18,every,4
c18-2,c18,are,4
c18-3,c18,from,4
c18-4,c18,be,4
c18-5,c18,of,4
c18-6,c18,the,4
c18-7,c18,let,4
c18-8,c18,we,4
c18-9,c18,up,4
c18-10,c18,day,4
