id,parentid,text,value
0,,Ye have heard that it was said by them of old time,
c1,0,,4
c1-1,c1,by,4
c1-2,c1,that,4
c1-3,c1,them,4
c1-4,c1,heard,4
c1-5,c1,old,4
c1-6,c1,time,4
c1-7,c1,Thou,4
c1-8,c1,婦女,4
c1-9,c1,尌動淫,4
c1-10,c1,心裡,4
c2,0,,4
c2-1,c2,on,4
c2-2,c2,you,4
c2-3,c2,say,4
c2-4,c2,to,4
c2-5,c2,lust,4
c3,0,,4
c3-1,c3,thy,4
c3-2,c3,thee,4
c3-3,c3,for,4
c3-4,c3,眼,4
c3-5,c3,百體,4
c3-6,c3,全身,4
c3-7,c3,right,4
c3-8,c3,eye,4
c3-9,c3,members,4
c3-10,c3,one,4
c4,0,,4
c4-1,c4,thee,4
c4-2,c4,thy,4
c4-3,c4,for,4
c4-4,c4,右手,4
c4-5,c4,話說,4
c4-6,c4,人,4
c4-7,c4,百體,4
c4-8,c4,right,4
c4-9,c4,cut,4
c4-10,c4,members,4
c5,0,,4
c5-1,c5,his,4
c5-2,c5,古人,4
c5-3,c5,away,4
c5-4,c5,you,4
c5-5,c5,say,4
c5-6,c5,him,4
c5-7,c5,of,4
c5-8,c5,the,4
c5-9,c5,been,4
c5-10,c5,為淫亂,4
6,0,,4
7,0,什麼誓,4
c6,0,,4
c6-1,c6,the,4
c6-2,c6,earth,4
c6-3,c6,it,4
c6-4,c6,his,4
c6-5,c6,is,4
c6-6,c6,by,4
c6-7,c6,of,4
c6-8,c6,great,4
c7,0,,4
c7-1,c7,頭髮變,4
c7-2,c7,thou,4
c7-3,c7,thy,4
c7-4,c7,head,4
c7-5,c7,because,4
c7-6,c7,swear,4
c7-7,c7,canst,4
c7-8,c7,not,4
c7-9,c7,黑變,4
c7-10,c7,make,4
c8,0,,4
c8-1,c8,尌說,4
c8-2,c8,多,4
c9,0,,4
c9-1,c9,話說,4
c9-2,c9,們聽過,4
c9-3,c9,nay,4
c9-4,c9,Nay,4
c9-5,c9,yea,4
c9-6,c9,for,4
c9-7,c9,than,4
c9-8,c9,眼還眼,4
c9-9,c9,these,4
12,0,,4
13,0,與惡人,4
c10,0,,4
c10-1,c10,thy,4
c10-2,c10,thee,4
c10-3,c10,right,4
c10-4,c10,but,4
c10-5,c10,cheek,4
c10-6,c10,turn,4
c10-7,c10,him,4
c10-8,c10,the,4
c11,0,,4
c11-1,c11,裡衣,4
c11-2,c11,法告,4
c11-3,c11,外衣,4
c11-4,c11,亮,4
c11-5,c11,if,4
c11-6,c11,any,4
c11-7,c11,man,4
c11-8,c11,sue,4
c11-9,c11,thee,4
c11-10,c11,at,4
c12,0,,4
c12-1,c12,thee,4
c12-2,c12,路,4
c12-3,c12,him,4
c13,0,,4
c13-1,c13,約譯,4
c13-2,c13,thee,4
c13-3,c13,that,4
c13-4,c13,him,4
c13-5,c13,話說,4
c13-6,c13,們聽見,4
c13-7,c13,鄰舍,4
c13-8,c13,asketh,4
c13-9,c13,from,4
c13-10,c13,of,4
c14,0,,4
c14-1,c14,been,4
c14-2,c14,that,4
c14-3,c14,Thou,4
c14-4,c14,heard,4
c14-5,c14,thy,4
c14-6,c14,neighbour,4
c14-7,c14,thine,4
c14-8,c14,enemy,4
c15,0,,4
c15-1,c15,人,4
c15-2,c15,仇敵,4
c16,0,,4
c16-1,c16,the,4
c16-2,c16,照壞人,4
c16-3,c16,日頭,4
c16-4,c16,兒女,4
c16-5,c16,好人,4
c16-6,c16,is,4
c16-7,c16,may,4
c16-8,c16,maketh,4
c16-9,c16,for,4
c16-10,c16,his,4
c17,0,,4
c17-1,c17,them,4
c17-2,c17,ye,4
c17-3,c17,if,4
c17-4,c17,you,4
c17-5,c17,the,4
c17-6,c17,even,4
c17-7,c17,not,4
c17-8,c17,what,4
c17-9,c17,reward,4
c18,0,,4
c18-1,c18,brethren,4
c18-2,c18,even,4
c18-3,c18,not,4
c18-4,c18,if,4
c18-5,c18,弟兄,4
c18-6,c18,人,4
c18-7,c18,孜,4
c18-8,c18,than,4
c18-9,c18,the,4
c18-10,c18,長處,4
c19,0,,4
c19-1,c19,even,4
c19-2,c19,e,4
c19-3,c19,完全,4
c19-4,c19,is,4
c20,0,,4
c20-1,c20,事,4
c20-2,c20,小心,4
c20-3,c20,馬太福音,4
c20-4,c20,人,4
c20-5,c20,見,4
c20-6,c20,這樣,4
c21,0,,4
c21-1,c21,of,4
c21-2,c21,seen,4
c21-3,c21,them,4
c21-4,c21,is,4
26,0,2 所以,
c22,26,,4
c22-1,c22,the,4
c22-2,c22,thine,4
c22-3,c22,say,4
c22-4,c22,you,4
c22-5,c22,their,4
c22-6,c22,thou,4
c22-7,c22,thee,4
c22-8,c22,when,4
c22-9,c22,in,4
c22-10,c22,that,4
28,0,3 你們賙濟時,
29,28,,4
30,0,4 叫你們賙濟的事行在暗中。你們的 父在暗中察看,
c23,30,,4
c23-1,c23,the,4
c23-2,c23,thou,4
c23-3,c23,you,4
c23-4,c23,say,4
c23-5,c23,their,4
c23-6,c23,be,4
c23-7,c23,are,4
c23-8,c23,pray,4
c23-9,c23,for,4
c23-10,c23,that,4
32,0,6 你們禱告時,
c24,32,,4
c24-1,c24,thy,4
c24-2,c24,when,4
c24-3,c24,thou,4
c24-4,c24,pray,4
c24-5,c24,is,4
c24-6,c24,seeth,4
c24-7,c24,thee,4
34,0,7 你們禱告,
c25,34,,4
c25-1,c25,use,4
c25-2,c25,pray,4
c25-3,c25,not,4
c25-4,c25,for,4
c25-5,c25,ye,4
c25-6,c25,the,4
c25-7,c25,do,4
c25-8,c25,think,4
c25-9,c25,that,4
c25-10,c25,they,4
36,0,8 你們不可效法他們;因為你們沒有祈求 以前,
c26,36,,4
c26-1,c26,like,4
c26-2,c26,ye,4
c26-3,c26,not,4
c26-4,c26,them,4
c26-5,c26,e,4
c26-6,c26,for,4
c26-7,c26,need,4
c26-8,c26,ask,4
c26-9,c26,him,4
38,0,9 所以,
c27,38,,4
c27-1,c27,art,4
c27-2,c27,Our,4
c27-3,c27,pray,4
c27-4,c27,be,4
c27-5,c27,thy,4
c28,38,,4
c28-1,c28,日用,4
c28-2,c28,國,4
c28-3,c28,day,4
c28-4,c28,our,4
c28-5,c28,inearth,4
c28-6,c28,it,4
c28-7,c28,be,4
c28-8,c28,bread,4
