id,parentid,text,value
0,,初学者如何查阅自然语言处理学术资料(2016修订),0
c1,0,,4
c1-1,c1,语言,4
c1-2,c1,兴趣,4
c1-3,c1,同学,4
c1-4,c1,自然,4
c1-5,c1,系统,4
c1-6,c1,学术,4
c1-7,c1,学者,4
c1-8,c1,资料,4
c1-9,c1,快,4
c1-10,c1,文章,4
c2,0,,4
c2-1,c2,个人,4
c2-2,c2,困惑,4
c2-3,c2,学者,4
c2-4,c2,人,4
c2-5,c2,研究生,4
c2-6,c2,初,4
c2-7,c2,经验,4
c2-8,c2,同学,4
c2-9,c2,邮件,4
c2-10,c2,组,4
3,0,1.	国际学术组织、学术会议与学术论文,1
c3,3,,4
c3-1,c3,会议,4
c3-2,c3,学术,4
c3-3,c3,语言学,4
c3-4,c3,计算机,4
c3-5,c3,大,4
c3-6,c3,语言,4
c3-7,c3,程度,4
c3-8,c3,自然,4
c3-9,c3,重要,4
c3-10,c3,科学,4
c4,3,,4
c4-1,c4,国际,4
c4-2,c4,学会,4
c4-3,c4,学术,4
c4-4,c4,会议,4
c4-5,c4,兴趣,4
c4-6,c4,重要,4
c4-7,c4,专业,4
c4-8,c4,权威,4
c4-9,c4,组织,4
c4-10,c4,特殊,4
c5,3,,4
c5-1,c5,论文,4
c5-2,c5,机器,4
c5-3,c5,学术,4
c5-4,c5,方法,4
c5-5,c5,人数,4
c5-6,c5,重要,4
c5-7,c5,特点,4
c5-8,c5,技术,4
c5-9,c5,传统,4
c5-10,c5,数据,4
c6,3,,4
c6-1,c6,大,4
c6-2,c6,学者,4
c6-3,c6,全文,4
c6-4,c6,功能,4
c6-5,c6,幸福,4
c6-6,c6,平台,4
c6-7,c6,领域,4
c6-8,c6,学会,4
c6-9,c6,手,4
c6-10,c6,网站,4
c7,3,,4
c7-1,c7,期刊,4
c7-2,c7,学术,4
c7-3,c7,文章,4
c7-4,c7,论文,4
c7-5,c7,全面,4
c7-6,c7,loi,4
c7-7,c7,on,4
c7-8,c7,平均,4
c7-9,c7,CL,4
c7-10,c7,影响力,4
c8,3,,4
c8-1,c8,会议,4
c8-2,c8,期刊,4
c8-3,c8,学术,4
c8-4,c8,领域,4
c8-5,c8,学者,4
c8-6,c8,程度,4
c9,3,,4
c9-1,c9,学术,4
c9-2,c9,会议,4
c9-3,c9,学会,4
c9-4,c9,计算机,4
c9-5,c9,期刊,4
c9-6,c9,领域,4
c9-7,c9,信息,4
c9-8,c9,学科,4
c9-9,c9,CL,4
c9-10,c9,人工智能,4
c10,3,,4
c10-1,c10,页面,4
c10-2,c10,wiki,4
c10-3,c10,信息,4
c10-4,c10,主席,4
c10-5,c10,总结,4
c10-6,c10,主题,4
c10-7,c10,学会,4
c10-8,c10,流程,4
c10-9,c10,著名,4
c10-10,c10,方式,4
c11,3,,4
c11-1,c11,论文,4
c11-2,c11,org,4
c11-3,c11,最新,4
c11-4,c11,著名,4
c11-5,c11,深度,4
c11-6,c11,多,4
c11-7,c11,技术,4
c11-8,c11,学者,4
c11-9,c11,成果,4
c11-10,c11,同行,4
13,0,2.	国内学术组织、学术会议与学术论文,1
c12,13,,4
c12-1,c12,学会,4
c12-2,c12,会议,4
c12-3,c12,中文,4
c12-4,c12,全国,4
c12-5,c12,信息,4
c12-6,c12,学术,4
c12-7,c12,主要,4
c12-8,c12,中国,4
c12-9,c12,北京,4
c12-10,c12,大会,4
c13,13,,4
c13-1,c13,信息,4
c13-2,c13,青年,4
c13-3,c13,微信,4
c13-4,c13,青工委,4
c13-5,c13,CL,4
c13-6,c13,中文,4
c13-7,c13,委员会,4
c13-8,c13,会议,4
c13-9,c13,论文,4
c13-10,c13,公众,4
c14,13,,4
c14-1,c14,学会,4
c14-2,c14,信息,4
c14-3,c14,期刊,4
c14-4,c14,旗,4
c14-5,c14,中文,4
c14-6,c14,中文信息学报,4
c14-7,c14,软件学报,4
c14-8,c14,计算机学报,4
c14-9,c14,领域,4
c14-10,c14,著名,4
17,0,3.	社会媒体,1
c15,17,,4
c15-1,c15,多,4
c15-2,c15,新浪微博,4
c15-3,c15,媒体,4
c15-4,c15,平台,4
c15-5,c15,学者,4
c15-6,c15,同学,4
c15-7,c15,线,4
c15-8,c15,社会,4
c15-9,c15,王威廉,4
c15-10,c15,言者,4
19,0,4.	如何快速了解某个领域研究进展,1
c16,19,,4
c16-1,c16,重要,4
c16-2,c16,简单,4
c16-3,c16,领域,4
c16-4,c16,文献,4
c16-5,c16,工具,4
c16-6,c16,搜索引擎,4
c16-7,c16,谷歌,4
c16-8,c16,庞大,4
c16-9,c16,索引量,4
c16-10,c16,经验,4
c17,19,,4
c17-1,c17,领域,4
c17-2,c17,综述,4
c17-3,c17,学术网站,4
c17-4,c17,作者,4
c17-5,c17,精细,4
c17-6,c17,方便,4
c17-7,c17,学者,4
c17-8,c17,方向,4
c17-9,c17,文档,4
c17-10,c17,最新,4
c18,19,,4
c18-1,c18,方向,4
c18-2,c18,学者,4
c18-3,c18,著名,4
c18-4,c18,大,4
c18-5,c18,综述,4
c18-6,c18,net,4
c18-7,c18,一般,4
c18-8,c18,学术,4
c18-9,c18,新,4
c18-10,c18,最新,4
