id,parentid,text,value
0,,初学者如何查阅自然语言处理学术资料(2016修订),0
1,0,语言/兴趣/同学/自然/系统/学术/学者/资料/快/文章,4
2,0,个人/困惑/学者/人/研究生/初/经验/同学/邮件/组,4
3,0,1.	国际学术组织、学术会议与学术论文,1
4,3,会议/学术/语言学/计算机/大/语言/程度/自然/重要/科学,4
5,3,国际/学会/学术/会议/兴趣/重要/专业/权威/组织/特殊,4
6,3,论文/机器/学术/方法/人数/重要/特点/技术/传统/数据,4
7,3,大/学者/全文/功能/幸福/平台/领域/学会/手/网站,4
8,3,期刊/学术/文章/论文/全面/loi/on/平均/CL/影响力,4
9,3,会议/期刊/学术/领域/学者/程度,4
10,3,学术/会议/学会/计算机/期刊/领域/信息/学科/CL/人工智能,4
11,3,页面/wiki/信息/主席/总结/主题/学会/流程/著名/方式,4
12,3,论文/org/最新/著名/深度/多/技术/学者/成果/同行,4
13,0,2.	国内学术组织、学术会议与学术论文,1
14,13,学会/会议/中文/全国/信息/学术/主要/中国/北京/大会,4
15,13,信息/青年/微信/青工委/CL/中文/委员会/会议/论文/公众,4
16,13,学会/信息/期刊/旗/中文/中文信息学报/软件学报/计算机学报/领域/著名,4
17,0,3.	社会媒体,1
18,17,多/新浪微博/媒体/平台/学者/同学/线/社会/王威廉/言者,4
19,0,4.	如何快速了解某个领域研究进展,1
20,19,重要/简单/领域/文献/工具/搜索引擎/谷歌/庞大/索引量/经验,4
21,19,领域/综述/学术网站/作者/精细/方便/学者/方向/文档/最新,4
22,19,方向/学者/著名/大/综述/net/一般/学术/新/最新,4
