id,parentid,text,value
0,,Matrix67: The Aha Moments,0
1,0,月/世界/杂耍/成绩/记号/选手/Aha/状态/大名/The,4
2,0,选手/规则/对方/战类/人/杂耍棒/手臂/身体/简单/体育运动,4
3,0,精彩/确实/杂耍棒/情况/模式/漂亮/典型/对手/动作/Luke,4
4,0,,4
5,0,视频/杂耍棒/仔细/有趣/人/细节/手/Luke/动作/好,4
6,0,物体/独立/手/确实/基本/杂耍/模式,4
7,0,杂耍/小/右手/接抛/模式/手/左手/球/过程/时长,4
8,0,模式/杂耍/球/基本/相同/小/动作/完全/高度/结果,4
9,0,小/球/图/时间/弧线/纵坐标/高度/横坐标/不同/左手,4
10,0,小/球/类似/情况/左手/右手/双手,4
11,0,小/情况/球/一样/固定/球数/动画/手,4
12,0,杂耍/模式/n/偶数/所得/奇数/区别/大/奇偶性会/瀑泻,4
13,0,n/小/球/奇数/偶数/模式/手能/问题/水/位置,4
14,0,杂耍/小/球/效果/确实/瀑泻/画面/插图/手/水平,4
15,0,强/观赏性/玩法,4
16,0,动画/感想,4
17,0,杂耍/动画/确实/模式/东西/网站/长度/文章/时候/左手,4
18,0,动画/图/杂耍/好/模式/软件/简单/高/瀑泻/文章,4
19,0,杂志/动画/效果/杂耍者世界/影响力/杂耍界/文章/杂耍/新/照片,4
20,0,杂耍/一样/屈体/记号/转体/语法/模式/简单/新/符号,4
21,0,球/数字/右手/标记/方案/高级/仔细/玩法/喷泉/瀑泻,4
22,0,例子/杂耍/模式/杂耍界/记号/数字,4
23,0,记号/人马/密切/一般/关系/加利福尼亚州/圣克鲁斯/Paul/早/加利福尼亚,4
24,0,手/球/数字/杂耍/动作/小/记号/高/直观/表演者,4
25,0,球/身体/正确/时候/记号/扔头/行/具体,4
26,0,数字/记号/大/杂耍/模式/人们/序/显然/字典/同一个,4
27,0,球/杂耍/瀑泻/基本/喷泉/模式/盆/容易/记号,4
28,0,动作/玩法/规律/现象/瀑泻/记号/高/简单/本质/长度,4
29,0,数字/记号/直观/模式/杂耍/所有/平均数/特征/串/共同,4
30,0,小/球/油/情况/单位/球加/数字/多/时间/记号,4
31,0,小/球/所有/记号/平均数/数字/之和/模式/杂耍/n,4
32,0,数字/平均数/小/球/合法/所有/整数/杂耍/麻烦/条件,4
33,0,记号/杂耍/新/模式/循环节/小/情况/球/好/思路,4
34,0,记号/数字/合法/全新/杂耍/模式/新/确实/d/距离,4
35,0,记号/杂耍/模式/数字/合法/新/所有/原/用位/规律,4
36,0,合法/动画/循环节/类似/新/杂耍/瀑泻/记号/数字/行,4
37,0,结果/数字,4
38,0,人们/模式/记号/杂耍/新/理论/工具/系统/简单/大,4
39,0,复杂/办法/移位/路子/直接,4
40,0,记号/长度/移位/单数字/球/结论/玩法/漂亮/适当/数字,4
41,0,数字/算法/记号/串/合法/n/移位/A/平均数/长度,4
42,0,算法/记号/合法/有限/简单/步,4
43,0,数字/大/完整/合法/小/所有/b/记号/串/数,4
44,0,上述/l/结果/余数/合法/强大/结论/长度/所得/步骤,4
45,0,记号/数字/合法/所有/移位/相同/事实/显然,4
46,0,数字/余数/串/所有/原来/a/本质/d/c/b,4
47,0,l/i/a/数字/d/b/结果/–/余数,4
48,0,合法/记号/平均数/检验法/余数/强大,4
49,0,数字/正确/道理/循环节/落点/示意图/部分/点/串/第,4
50,0,数字/小/记号/地方/杂耍/串/相同/动画/结论/模式,4
51,0,l/杂耍/新/模式/方阵/长度/小/球数/循环节/规律,4
52,0,方格/不同/字典/序/合法/长度/记号/习惯/意/任,4
53,0,l/圆圈/余数/所圈/单位/数字/第/上图/真/位置,4
54,0,数/确实/方法/循环节/之和/总和/傻瓜/长度/平均数/l,4
55,0,地方/正/合法/整倍数/办法/杂耍/l/直接/理论/一定,4
56,0,杂耍/问题/瀑泻/强大/表演者/记号/人们/模式/工具/缝,4
57,0,小/球/数字/动作/记号/所有/最高/情况/瀑泻/拍数,4
58,0,x/正好/动作/状态/整个/意义/数字/直观/面/y,4
59,0,5 位 01 串中有 3 个数字 1 ，这一共有 C(5, 3) = 10 种可能性。让我们在纸上把这 10 种可能性全部写下来。如果某种状态能通过某个动作转换为另一种状态，我们就从前一种状态出发，画一根箭头指向后一种状态，并在路上标出动作的数值。注意，一个状态有可能转换为它本身，例如 11100 能通过动作 3 转换为它本身。我们就画一个箭头，从它出发，绕个小圈，指向它自己。另外，你会发现，以数字 0 开头的状态无法转移到任何其他状态，否则数字 1 的个数就不对了；更直观的说法则是，到了这种状态显然必死，因为下一拍就没有小球接了。,1
60,59,瀑泻/合法/球/记号/回路/图/箭头/大/动画/原则,4
61,59,长/复杂/方法/实质/意义/记号/基本,4
62,59,节点/回路/小/图/状态/公共,4
63,59,模式/记号/素位/状态/图/推理/上述/多,4
64,59,记号/素位/所有/适当/规律/组合/一定/杂耍/物质/状态,4
65,59,小/结论/杂耍/记号/朋友/The/兴趣/文章/内容/主要,4
66,59,视频/文章/基本/真/开头/com/结尾/杂耍/www,4
67,59,gif/动图/问题/字符串/数学/游戏/杂/代数/直觉/动画,4
68,59,动作/难懂/好/视频/复杂/左手/选手/双手/src/好看,4
69,59,月/文章/注意力/nice/成功/厉害/年/强/概率/题目,4
