id,parentid,text,value
0,,托马斯·库恩的学术道路,0
c1,0,,4
c1-1,c1,库恩,4
c1-2,c1,科学,4
c1-3,c1,学术,4
c1-4,c1,托马斯,4
c1-5,c1,极大,4
c1-6,c1,整个,4
c1-7,c1,哲学家,4
c1-8,c1,概念,4
c1-9,c1,重要,4
c1-10,c1,贡献,4
2,0,1 生平,1
c2,2,,4
c2-1,c2,库恩,4
c2-2,c2,哈佛,4
c2-3,c2,理论,4
c2-4,c2,时期,4
c2-5,c2,物理学,4
c2-6,c2,大学,4
c2-7,c2,物理,4
c2-8,c2,中学,4
c2-9,c2,博士,4
c2-10,c2,科学,4
c3,2,,4
c3-1,c3,库恩,4
c3-2,c3,反响,4
c3-3,c3,巨大,4
c3-4,c3,学术界,4
c3-5,c3,科学,4
c3-6,c3,哲学,4
c3-7,c3,普林斯顿,4
c3-8,c3,麻省,4
c3-9,c3,历史主义,4
c3-10,c3,学派,4
5,0,2 重要成果,1
c4,5,,4
c4-1,c4,科学,4
c4-2,c4,范式,4
c4-3,c4,库恩,4
c4-4,c4,理论,4
c4-5,c4,历史,4
c4-6,c4,线性,4
c4-7,c4,哲学,4
c4-8,c4,神话,4
c4-9,c4,阶段,4
c4-10,c4,著名,4
c5,5,,4
c5-1,c5,问题,4
c5-2,c5,常规,4
c5-3,c5,手段,4
c5-4,c5,著名,4
c5-5,c5,导师,4
c5-6,c5,物理学家,4
c5-7,c5,博士生,4
c5-8,c5,科学家,4
c5-9,c5,John,4
c5-10,c5,Van,4
c6,5,,4
c6-1,c6,科学,4
c6-2,c6,范式,4
c6-3,c6,理论,4
c6-4,c6,多,4
c6-5,c6,谜,4
c6-6,c6,恩最革命性,4
c6-7,c6,老,4
c6-8,c6,阶段,4
c6-9,c6,情况,4
c6-10,c6,知识,4
c7,5,,4
c7-1,c7,范式,4
c7-2,c7,客观,4
c7-3,c7,好坏,4
c7-4,c7,标准,4
10,0,3 人物影响,1
c8,10,,4
c8-1,c8,科学,4
c8-2,c8,波普尔,4
c8-3,c8,库恩,4
c8-4,c8,相对主义,4
c8-5,c8,理论,4
c8-6,c8,范式,4
c8-7,c8,证伪,4
c8-8,c8,学派,4
c8-9,c8,哲学,4
c8-10,c8,激进,4
12,10,T,4
13,10,T,4
c9,10,,4
c9-1,c9,Press,4
c9-2,c9,Kuhn,4
c9-3,c9,T,4
c9-4,c9,Hawkins,4
c9-5,c9,The,4
15,10,554--555,4
16,10,The,4
17,10,,4
