id,parentid,text,value
0,,ISSN 1000-0054	清华大学学报（自然科学版）  2009年第49卷第12期	,0
c1,0,,4
c1-1,c1,学报,4
c1-2,c1,自然科学,4
c1-3,c1,清华大学,4
c1-4,c1,版,4
c1-5,c1,N,4
c2,0,,4
c2-1,c2,作者,4
c2-2,c2,主题,4
c2-3,c2,版,4
c2-4,c2,科学,4
c2-5,c2,明确,4
c2-6,c2,自然科学,4
c2-7,c2,来稿,4
c2-8,c2,知识,4
c2-9,c2,产权,4
c2-10,c2,学报,4
c3,0,,4
c3-1,c3,稿件,4
c3-2,c3,学报,4
c3-3,c3,文献,4
c3-4,c3,纸质,4
c3-5,c3,机构,4
c3-6,c3,作者,4
c3-7,c3,稿酬,4
c3-8,c3,编辑部,4
c3-9,c3,原稿,4
c4,0,,4
c4-1,c4,文稿,4
c4-2,c4,格式,4
c4-3,c4,要求,4
5,0,1  文稿的篇幅、构成、首页注释、层次标题,1
c5,5,,4
c5-1,c5,篇幅,4
c5-2,c5,作者,4
c5-3,c5,文稿,4
c5-4,c5,文题,4
c5-5,c5,文摘,4
c5-6,c5,版面,4
c5-7,c5,内容,4
c5-8,c5,一般,4
c5-9,c5,姓名,4
c5-10,c5,图,4
c6,5,,4
c6-1,c6,作者,4
c6-2,c6,项目,4
c6-3,c6,b,4
c6-4,c6,地脚,4
c6-5,c6,基金,4
c6-6,c6,一级,4
c6-7,c6,二级,4
c6-8,c6,编号,4
c6-9,c6,文稿,4
c6-10,c6,姓名,4
c7,5,,4
c7-1,c7,图,4
c7-2,c7,引文,4
c7-3,c7,表格,4
c7-4,c7,公式,4
c7-5,c7,图片,4
c7-6,c7,序号,4
c7-7,c7,正文,4
c7-8,c7,顺序,4
c7-9,c7,全文,4
c7-10,c7,阿拉伯,4
9,0,2  文题、作者姓名、作者机构、摘要、关键词和中图分类号,1
c8,9,,4
c8-1,c8,机构,4
c8-2,c8,不同,4
c8-3,c8,作者,4
c8-4,c8,文题,4
c8-5,c8,中文,4
c8-6,c8,一般,4
c8-7,c8,情况,4
c8-8,c8,名称,4
c8-9,c8,正式,4
c8-10,c8,全称,4
c9,9,,4
c9-1,c9,中文,4
c9-2,c9,具体,4
c9-3,c9,成篇,4
c9-4,c9,层次,4
c9-5,c9,独立,4
c9-6,c9,摘要,4
c9-7,c9,意义,4
c9-8,c9,目的,4
c9-9,c9,完整,4
c9-10,c9,信息,4
c10,9,,4
c10-1,c10,不同,4
c10-2,c10,中文,4
c10-3,c10,缩略语,4
c10-4,c10,关键词,4
c10-5,c10,图,4
c10-6,c10,号,4
c10-7,c10,中国图书馆分类法,4
c10-8,c10,全称,4
13,0,3 英文部分,1
c11,13,,4
c11-1,c11,英文,4
c11-2,c11,内容,4
c11-3,c11,摘要,4
c11-4,c11,作者,4
c11-5,c11,词,4
c11-6,c11,中文,4
c11-7,c11,主语,4
c11-8,c11,姓名,4
c11-9,c11,文题,4
c11-10,c11,一般,4
c12,13,,4
c12-1,c12,专有名词,4
c12-2,c12,全称,4
c12-3,c12,缩略语,4
c12-4,c12,内容,4
c12-5,c12,数量,4
c12-6,c12,关键词,4
c12-7,c12,顺序,4
c12-8,c12,英文,4
c12-9,c12,中文,4
c12-10,c12,大写,4
16,0,4 量名称、量符号与量单位,1
c13,16,,4
c13-1,c13,量,4
c13-2,c13,严格,4
c13-3,c13,作者,4
c13-4,c13,国家标准,4
c13-5,c13,文稿,4
c13-6,c13,正确,4
c13-7,c13,符号,4
c13-8,c13,使用量,4
c13-9,c13,名称,4
c13-10,c13,同一个,4
c14,16,,4
c14-1,c14,量,4
c14-2,c14,一般,4
c14-3,c14,符号,4
c14-4,c14,角标,4
c14-5,c14,量符号,4
c14-6,c14,数值,4
c14-7,c14,单位,4
c14-8,c14,函数,4
c14-9,c14,变数,4
c14-10,c14,单个,4
19,0,5 数字和字符的正体和斜体,1
c15,19,,4
c15-1,c15,符号,4
c15-2,c15,量,4
c15-3,c15,字母量,4
c15-4,c15,一般,4
c15-5,c15,单一,4
c15-6,c15,角标,4
c15-7,c15,字母,4
c15-8,c15,特征量,4
c15-9,c15,斜体,4
c15-10,c15,函数符号,4
c16,19,,4
c16-1,c16,单位,4
c16-2,c16,矩阵,4
c16-3,c16,量,4
c16-4,c16,文字,4
c16-5,c16,国际,4
c16-6,c16,情况,4
c16-7,c16,标准,4
c16-8,c16,符号,4
c16-9,c16,正体,4
c16-10,c16,词头,4
22,0,6 数值的表示和有效位数,1
c17,22,,4
c17-1,c17,数值,4
c17-2,c17,合理,4
c17-3,c17,英文,4
c17-4,c17,小数点,4
c17-5,c17,SI词头,4
c17-6,c17,有效,4
c17-7,c17,阿拉伯,4
c17-8,c17,范围,4
c17-9,c17,空格,4
c17-10,c17,位数,4
24,0,7 插  图,1
c18,24,,4
c18-1,c18,插图,4
c18-2,c18,图注,4
c18-3,c18,汉字,4
c18-4,c18,分明,4
c18-5,c18,幅面,4
c18-6,c18,辅线,4
c18-7,c18,字体,4
c18-8,c18,轮廓线,4
c18-9,c18,图线,4
c18-10,c18,宋体,4
c19,24,,4
c19-1,c19,符号,4
c19-2,c19,使用量,4
c19-3,c19,标值,4
c19-4,c19,标目,4
c19-5,c19,标线,4
c19-6,c19,函数图,4
c19-7,c19,单位,4
c19-8,c19,刻度,4
c19-9,c19,比,4
c19-10,c19,圆整,4
c20,24,,4
c20-1,c20,比例尺,4
c20-2,c20,地图,4
c20-3,c20,尺度,4
28,0,8 表  格,1
c21,28,,4
c21-1,c21,表格,4
c21-2,c21,符号,4
c21-3,c21,位置,4
c21-4,c21,文字,4
c21-5,c21,栏,4
