id,parentid,text,value
0,,ISSN 1000-0054	清华大学学报（自然科学版）  2009年第49卷第12期	,0
1,0,学报/自然科学/清华大学/版/N,4
2,0,作者/主题/版/科学/明确/自然科学/来稿/知识/产权/学报,4
3,0,稿件/学报/文献/纸质/机构/作者/稿酬/编辑部/原稿,4
4,0,文稿/格式/要求,4
5,0,1  文稿的篇幅、构成、首页注释、层次标题,1
6,5,篇幅/作者/文稿/文题/文摘/版面/内容/一般/姓名/图,4
7,5,作者/项目/b/地脚/基金/一级/二级/编号/文稿/姓名,4
8,5,图/引文/表格/公式/图片/序号/正文/顺序/全文/阿拉伯,4
9,0,2  文题、作者姓名、作者机构、摘要、关键词和中图分类号,1
10,9,机构/不同/作者/文题/中文/一般/情况/名称/正式/全称,4
11,9,中文/具体/成篇/层次/独立/摘要/意义/目的/完整/信息,4
12,9,不同/中文/缩略语/关键词/图/号/中国图书馆分类法/全称,4
13,0,3 英文部分,1
14,13,英文/内容/摘要/作者/词/中文/主语/姓名/文题/一般,4
15,13,专有名词/全称/缩略语/内容/数量/关键词/顺序/英文/中文/大写,4
16,0,4 量名称、量符号与量单位,1
17,16,量/严格/作者/国家标准/文稿/正确/符号/使用量/名称/同一个,4
18,16,量/一般/符号/角标/量符号/数值/单位/函数/变数/单个,4
19,0,5 数字和字符的正体和斜体,1
20,19,符号/量/字母量/一般/单一/角标/字母/特征量/斜体/函数符号,4
21,19,单位/矩阵/量/文字/国际/情况/标准/符号/正体/词头,4
22,0,6 数值的表示和有效位数,1
23,22,数值/合理/英文/小数点/SI词头/有效/阿拉伯/范围/空格/位数,4
24,0,7 插  图,1
25,24,插图/图注/汉字/分明/幅面/辅线/字体/轮廓线/图线/宋体,4
26,24,符号/使用量/标值/标目/标线/函数图/单位/刻度/比/圆整,4
27,24,比例尺/地图/尺度,4
28,0,8 表  格,1
29,28,表格/符号/位置/文字/栏/单/使用量/量值/宽度/单位,4
30,0,9 参考文献的要求,1
31,30,9.1 参考文献表的著录原则,2
32,31,论文/科学/文献表/读者/信息/详细/作者/人员/出处/科技,4
33,31,直接/正式/作者/主要/文献/新鲜,4
34,30,9.2 参考文献著录表的一般要求,2
35,34,文献/论文/原文/顺序/正文/编码制/研究型/中文/文献表/译文,4
36,30,9.3  作者人名的表示方法,2
37,36,人/人数/作者/姓名/全体/人名/余者,4
38,36,文献/	/专利/表/出版者/技术/单位/正例/标准/作者,4
39,36,the/Liqun/Kun/of/The/design/gear/used/wrist/Sci,4
40,36,北京/系统/通讯/郑开青/清华大学/软件,4
41,36,genetic/method/as/Proc/Press/3rd,4
