id,parentid,text,value
0,,中苏同盟破裂的原因和结果,0
c1,0,,4
c1-1,c1,关系,4
c1-2,c1,苏,4
c1-3,c1,中,4
c1-4,c1,理论,4
c1-5,c1,政治,4
c1-6,c1,同盟,4
c1-7,c1,冷战,4
c1-8,c1,世界,4
c1-9,c1,社会主义,4
c1-10,c1,国际,4
c2,0,,4
c2-1,c2,中,4
c2-2,c2,苏,4
c2-3,c2,同盟,4
c2-4,c2,政治,4
c2-5,c2,分歧,4
c2-6,c2,专家,4
c2-7,c2,历史,4
c2-8,c2,关系,4
c2-9,c2,华,4
c2-10,c2,冷战,4
c3,0,,4
c3-1,c3,观点,4
c3-2,c3,中,4
c3-3,c3,苏,4
c3-4,c3,苏联,4
c3-5,c3,中国,4
c3-6,c3,领导人,4
c3-7,c3,路线,4
c3-8,c3,苏共,4
c3-9,c3,二十大,4
c3-10,c3,中共中央,4
c4,0,,4
c4-1,c4,苏,4
c4-2,c4,中,4
c4-3,c4,学者,4
c4-4,c4,关系,4
c4-5,c4,同盟,4
c4-6,c4,历史,4
c4-7,c4,中国,4
c4-8,c4,问题,4
c4-9,c4,过程,4
c4-10,c4,政策,4
5,0,一 、中苏分歧的表现及其根源,1
c5,5,,4
c5-1,c5,苏,4
c5-2,c5,中,4
c5-3,c5,同盟,4
c5-4,c5,方针,4
c5-5,c5,党,4
c5-6,c5,政策,4
c5-7,c5,分歧,4
c5-8,c5,方面,4
c5-9,c5,原则性,4
c5-10,c5,认真,4
c6,5,,4
c6-1,c6,苏,4
c6-2,c6,苏联,4
c6-3,c6,中,4
c6-4,c6,毛泽东,4
c6-5,c6,关系,4
c6-6,c6,会议,4
c6-7,c6,中国,4
c6-8,c6,莫斯科,4
c6-9,c6,赫鲁晓夫,4
c6-10,c6,社会主义,4
c7,5,,4
c7-1,c7,苏联,4
c7-2,c7,苏,4
c7-3,c7,中,4
c7-4,c7,会议,4
c7-5,c7,政策,4
c7-6,c7,毛泽东,4
c7-7,c7,中国,4
c7-8,c7,共同,4
c7-9,c7,领导人,4
c7-10,c7,观点,4
c8,5,,4
c8-1,c8,中国,4
c8-2,c8,赫鲁晓夫,4
c8-3,c8,苏联,4
c8-4,c8,毛泽东,4
c8-5,c8,美国,4
c8-6,c8,局势,4
c8-7,c8,问题,4
c8-8,c8,国际,4
c8-9,c8,紧张,4
c8-10,c8,人,4
c9,5,,4
c9-1,c9,中国,4
c9-2,c9,倾向,4
c9-3,c9,赫鲁晓夫,4
c9-4,c9,举动,4
c9-5,c9,协定,4
c9-6,c9,领导人,4
