id,parentid,text,value
0,,中苏同盟破裂的原因和结果,0
1,0,关系/苏/中/理论/政治/同盟/冷战/世界/社会主义/国际,4
2,0,中/苏/同盟/政治/分歧/专家/历史/关系/华/冷战,4
3,0,观点/中/苏/苏联/中国/领导人/路线/苏共/二十大/中共中央,4
4,0,苏/中/学者/关系/同盟/历史/中国/问题/过程/政策,4
5,0,一 、中苏分歧的表现及其根源,1
6,5,苏/中/同盟/方针/党/政策/分歧/方面/原则性/认真,4
7,5,苏/苏联/中/毛泽东/关系/会议/中国/莫斯科/赫鲁晓夫/社会主义,4
8,5,苏联/苏/中/会议/政策/毛泽东/中国/共同/领导人/观点,4
9,5,中国/赫鲁晓夫/苏联/毛泽东/美国/局势/问题/国际/紧张/人,4
10,5,中国/倾向/赫鲁晓夫/举动/协定/领导人/莫斯科/做法/后果/性格,4
11,5,共产主义/毛泽东/中国/苏联/中共/社会主义/快/政策/会议/经济,4
12,5,苏联/中国/波兰/赫鲁晓夫/讲话/道路/结果/实际/恰当/政策,4
13,5,毛泽东/干部/苏联/会议/彭德怀/月/中国/公社/运动/大跃进,4
14,5,毛泽东/月/赫鲁晓夫/人/会议/材料/苏联/公社/信件/同志,4
15,5,中/苏/中共/国/毛泽东/关系/分歧/双方/政策/原则,4
16,5,中/月/苏/苏联/会议/苏共/中共/结果/文章/报刊,4
17,5,中/年代/苏/世纪/党/政策性/分歧/中共/苏联/修正主,4
18,5,国际/中国/国家/中共/大国/苏联/世界/哲学/毛泽东/新,4
19,5,经济/社会主义/苏联/道路/新/时期/模式/经验/中国/不同,4
20,5,苏/中/理念/时间差/政策/分歧/必然/趋势,4
21,0,二 、中苏同盟破裂的内在逻辑,1
22,21,利益/分歧/国家/关系/苏/中/观点/年代/政策/同盟,4
23,21,共同/美国/中/军事/结论/苏/双方/中国/官员/力量,4
24,21,关系/国家/苏/中/社会主义/原因/美国/一般/情报/阵营,4
25,21,中/社会主义/国/苏/朋友/苏联/同盟/人们/苏军/关系,4
26,21,关系/社会主义/国家/同盟/领袖/问题/个性/政治/结构性/毛泽东,4
27,21,国家/共产党人/民族/国际主义/关系/政权/不同/典型/国名/相互,4
28,21,国家/苏联/社会主义/共产党/地位/时间/大国/一致/同时/利益,4
29,21,关系/国家/领导/被领导/同盟/组织/弊病/原则/平等/内在,4
30,21,关系/国家/共产党/原则/党际/全党/上级/下级/中央/组织,4
31,21,共产党/社会主义/关系/国家/地位/国际/苏联/共产主义/组织/运动,4
32,21,关系/国家/同盟/社会主义/政治/共运/主权/国际/领导/阵营,4
33,21,中/苏/利益/社会主义/毛泽东/地位/国际/苏联/分歧/大,4
34,0,三 、中苏分裂的结果及其影响,1
35,34,苏/中/外交/中国/关系/国/毛泽东/苏共/党/战略,4
36,34,历史/国际/苏/进程/中/同盟/关系/结果/深刻/中国,4
37,34,中共/中国/新/经济/苏共/社会主义/形势/领导人/年代/赫鲁晓夫,4
38,34,道路/教条主义/斯大林/会议/中国/修正主义/内政/正确/毛泽东/苏,4
39,34,政策/中国/美国/外交/党/苏/外交部/新/原则/月,4
40,34,赫鲁晓夫/美/中国/结果/作用/英/因素/社会主义/暗地/无形,4
41,34,计划/苏共/苏联/共产主义/大跃进/中国/运动/全面/赫鲁晓夫/政策,4
42,34,赫鲁晓夫/美/会议/苏联/中国/首脑/国/毛泽东/中共/路线,4
43,34,毛泽东/中国/中共/赫鲁晓夫/社会主义/政策/道路/大跃进/苏共/逻辑,4
44,34,苏联/中国/苏/理论/中/苏共/修正主义/分歧/思想/实际,4
45,34,苏/中/苏联/美/年代/美国/格局/国际/中国/毛泽东,4
46,34,月/毛泽东/文章/新/公报/苏联/人民日报/十二中全会/事件/阿尔巴尼亚,4
47,34,美国/中/关系/苏/战略/月/中国/苏联/联华/美,4
48,34,中国/问题/基辛格/美国/美/方面/中/苏联/印度/连续,4
49,34,月/美/中/中国/双方/国/线/目标/领导人/和平,4
50,34,力量/苏联/年代/世界/毛泽东/中国/苏/美国/美/国际,4
51,34,苏/中/冷战/同盟/美/关系/远东/美国/条约/战略,4
52,34,左派/党/结局/冷战/国际/毛泽东/促进性/苏联/关系/中,4
53,34,中国/战争/美国/新/月/形势/兄弟/苏联/越南/印度尼西亚,4
54,34,国际/人民日报/月/公开/苏共/大/文章/共运/运动/共产主义,4
55,34,苏共中央/苏共/兄弟/党/大/中共/苏斯洛夫/全会/书记/共产主义,4
56,34,国际/苏共/共产党/明确定性/兄弟/苏联/党/中国/社会/中共,4
57,34,苏/中/苏联/美/力量/国际/社会主义/敌对/意义/态势,4
