id,parentid,text,value
0,,亚里士多德《政治学》读书报告,0
1,0,,4
2,0,1．《政治学》中的主要内容以及我的看法,1
3,2,1.1基本观点和对前人的批判,2
c1,3,,4
c1-1,c1,家庭,4
c1-2,c1,城邦,4
c1-3,c1,亚里士多德,4
c1-4,c1,人类,4
c1-5,c1,团体,4
c1-6,c1,目的,4
c1-7,c1,内容,4
c1-8,c1,部分,4
c1-9,c1,善业,4
c1-10,c1,共同体,4
c2,3,,4
c2-1,c2,政体,4
c2-2,c2,理想,4
c2-3,c2,柏拉图,4
c2-4,c2,城邦,4
c2-5,c2,政治,4
c2-6,c2,亚里士多德,4
c2-7,c2,话,4
c2-8,c2,人,4
c2-9,c2,理想国,4
c2-10,c2,集合,4
6,2,1.2对政体的分类方法和对优良政体的探讨,2
c3,6,,4
c3-1,c3,政体,4
c3-2,c3,人,4
c3-3,c3,亚里士多德,4
c3-4,c3,公民,4
c3-5,c3,法律,4
c3-6,c3,统治者,4
c3-7,c3,方式,4
c3-8,c3,身份,4
c3-9,c3,优良,4
c3-10,c3,国家,4
c4,6,,4
c4-1,c4,政体,4
c4-2,c4,平民,4
c4-3,c4,政治,4
c4-4,c4,整体,4
c4-5,c4,寡头,4
c4-6,c4,共和,4
c4-7,c4,详细,4
c4-8,c4,中产阶级,4
c4-9,c4,重要,4
c4-10,c4,亚里士多德,4
c5,6,,4
c5-1,c5,政治学,4
c5-2,c5,核心,4
c5-3,c5,崇高,4
c5-4,c5,历史,4
c5-5,c5,亚里士多德,4
c5-6,c5,书,4
c5-7,c5,部分,4
c5-8,c5,地位,4
c5-9,c5,大,4
c5-10,c5,时代,4
10,2,1.3革命的原因以及建立和维持政体的方法,2
c6,10,,4
c6-1,c6,僭主,4
c6-2,c6,政体,4
c6-3,c6,权力,4
c6-4,c6,	亚里士多德,4
c6-5,c6,亚里士多德,4
c6-6,c6,小,4
c6-7,c6,寡头,4
c6-8,c6,平民,4
c6-9,c6,一般,4
c6-10,c6,原因,4
c7,10,,4
c7-1,c7,详细,4
c7-2,c7,政体,4
c7-3,c7,方面,4
c7-4,c7,平民,4
c7-5,c7,亚里士多德,4
c7-6,c7,寡头,4
c7-7,c7,方法,4
13,2,1.4对于理想城邦的描述,2
c8,13,,4
c8-1,c8,柏拉图,4
c8-2,c8,部分,4
c8-3,c8,结构,4
c8-4,c8,理想国,4
c8-5,c8,主题,4
c8-6,c8,亚里士多德,4
c8-7,c8,弟子,4
c8-8,c8,大,4
c9,13,,4
c9-1,c9,亚里士多德,4
c9-2,c9,概念,4
c9-3,c9,相同,4
c9-4,c9,身体,4
c9-5,c9,个人,4
c9-6,c9,政治,4
c9-7,c9,理想,4
c9-8,c9,幸福,4
c9-9,c9,城邦,4
c9-10,c9,诸善,4
c10,13,,4
c10-1,c10,城邦,4
c10-2,c10,理想,4
c10-3,c10,问题,4
c10-4,c10,部分,4
c10-5,c10,社会,4
c10-6,c10,环境,4
c10-7,c10,地理,4
c10-8,c10,城墙,4
c10-9,c10,条件,4
c10-10,c10,交通,4
17,0,2．《政治学》的不足之处和历史局限性,1
c11,17,,4
c11-1,c11,情况,4
c11-2,c11,政治学,4
c11-3,c11,亚里士多德,4
c11-4,c11,部分,4
c11-5,c11,政治,4
c11-6,c11,理论,4
c11-7,c11,不足,4
c11-8,c11,处,4
c11-9,c11,看法,4
19,17,2.1城邦视角的局限性,2
c12,19,,4
c12-1,c12,城邦,4
c12-2,c12,大,4
c12-3,c12,政治学,4
c12-4,c12,希腊,4
c12-5,c12,理想,4
c12-6,c12,哲学家,4
c12-7,c12,亚里士多德,4
c12-8,c12,思想,4
c12-9,c12,时期,4
c12-10,c12,疆域,4
21,17,2.2人治思想和等级观念等落后思想的残余,2
c13,21,,4
c13-1,c13,亚里士多德,4
c13-2,c13,柏拉图,4
c13-3,c13,法治,4
c13-4,c13,问题,4
c13-5,c13,社会,4
c13-6,c13,常识感,4
c13-7,c13,成熟,4
c13-8,c13,中庸,4
c13-9,c13,哲学,4
c13-10,c13,行文,4
23,0,总结,1
c14,23,,4
c14-1,c14,课程,4
c14-2,c14,难得,4
c14-3,c14,政治学,4
c14-4,c14,报告,4
c14-5,c14,书,4
c14-6,c14,西方哲学精神探源,4
c14-7,c14,句号,4
c14-8,c14,多,4
c14-9,c14,哲学,4
c14-10,c14,学期,4
