id,parentid,text,value
0,,基于 IPv6 源地址验证的一种可信身份系统,0
1,0,,4
2,0,1 引言,1
c1,2,,4
c1-1,c1,互联网,4
c1-2,c1,军事,4
c1-3,c1,金融,4
c1-4,c1,社会,4
c1-5,c1,身份,4
c1-6,c1,基础,4
c1-7,c1,网络,4
c1-8,c1,严重,4
c1-9,c1,可信,4
c1-10,c1,人类,4
c2,2,,4
c2-1,c2,身份,4
c2-2,c2,快捷,4
c2-3,c2,网络,4
c2-4,c2,机构,4
c2-5,c2,基础,4
c2-6,c2,可疑,4
c2-7,c2,行为,4
c2-8,c2,发送者,4
c2-9,c2,真实性,4
c2-10,c2,方法,4
5,0,2 问题分析,1
c3,5,,4
c3-1,c3,互联网,4
c3-2,c3,可信,4
c3-3,c3,地址,4
c3-4,c3,合法,4
c3-5,c3,传统,4
c3-6,c3,原因,4
c3-7,c3,发送者,4
c3-8,c3,广泛,4
c3-9,c3,根本,4
c3-10,c3,主要,4
c4,5,,4
c4-1,c4,地址,4
c4-2,c4,协议,4
c4-3,c4,主机,4
c4-4,c4,身份,4
c4-5,c4,用户,4
c4-6,c4,标识,4
c4-7,c4,互联网,4
c4-8,c4,真实,4
c4-9,c4,社会,4
c4-10,c4,位置,4
c5,5,,4
c5-1,c5,地址,4
c5-2,c5,设备,4
c5-3,c5,身份,4
c5-4,c5,网络,4
c5-5,c5,发送者,4
c5-6,c5,一致性,4
c5-7,c5,重放,4
c5-8,c5,可信性,4
c6,5,,4
c6-1,c6,用户,4
c6-2,c6,地址,4
c6-3,c6,身份,4
c6-4,c6,	,4
c6-5,c6,有效,4
c6-6,c6,治域,4
c6-7,c6,需求,4
c6-8,c6,互联网,4
c6-9,c6,攻击者,4
c6-10,c6,困难,4
c7,5,,4
c7-1,c7,可信,4
c7-2,c7,体系,4
c7-3,c7,互联网,4
c7-4,c7,基础,4
c7-5,c7,结构,4
c7-6,c7,	,4
c7-7,c7,广泛,4
c7-8,c7,真实,4
c7-9,c7,双方,4
c7-10,c7,身份,4
c8,5,,4
c8-1,c8,地址,4
c8-2,c8,身份,4
c8-3,c8,可信,4
c8-4,c8,真实,4
c8-5,c8,标识,4
c8-6,c8,系统,4
c8-7,c8,载体,4
c8-8,c8,新,4
c8-9,c8,一定,4
c8-10,c8,主机,4
c9,5,,4
c9-1,c9,地址,4
c9-2,c9,用户,4
c9-3,c9,真实,4
c9-4,c9,社会,4
c9-5,c9,身份,4
c9-6,c9,权限,4
c9-7,c9,合法,4
c9-8,c9,一定,4
c9-9,c9,网络,4
c9-10,c9,直接,4
c10,5,,4
c10-1,c10,用户,4
c10-2,c10,问题,4
c10-3,c10,隐私,4
c10-4,c10,明确,4
c10-5,c10,同时,4
c10-6,c10,有效,4
c10-7,c10,发送者,4
c10-8,c10,真实,4
c10-9,c10,身份,4
c10-10,c10,机制,4
c11,5,,4
c11-1,c11,身份,4
c11-2,c11,真实,4
c11-3,c11,发送者,4
c11-4,c11,可信,4
c11-5,c11,情况,4
c11-6,c11,问题,4
c11-7,c11,互联网,4
c11-8,c11,可验证性,4
c11-9,c11,上述,4
c11-10,c11,安全,4
15,0,3 相关工作,1
c12,15,,4
c12-1,c12,交换机,4
c12-2,c12,方案,4
c12-3,c12,五元组,4
c12-4,c12,清华大学,4
c12-5,c12,SAVI,4
c12-6,c12,实时,4
c12-7,c12,用户,4
c13,15,,4
c13-1,c13,身份,4
c13-2,c13,发送者,4
c13-3,c13,跨域,4
c13-4,c13,方案,4
c13-5,c13,五元组,4
c13-6,c13,溯源,4
c13-7,c13,网络,4
c13-8,c13,真实,4
c13-9,c13,管理者,4
c13-10,c13,共同,4
c14,15,,4
c14-1,c14,主要,4
c14-2,c14,目的,4
c14-3,c14,协议,4
c14-4,c14,安全性,4
c14-5,c14,地址,4
19,0,4 系统设计,1
c15,19,,4
c15-1,c15,用户,4
c15-2,c15,真实,4
c15-3,c15,身份,4
c15-4,c15,目标,4
c15-5,c15,可信,4
c15-6,c15,上述,4
c15-7,c15,隐私,4
c15-8,c15,系统,4
c15-9,c15,同时,4
c16,19,,4
c16-1,c16,用户,4
c16-2,c16,地址,4
c16-3,c16,算法,4
c16-4,c16,身份,4
c16-5,c16,真实,4
c16-6,c16,general,4
c16-7,c16,用户名,4
c16-8,c16,network,4
c16-9,c16,社会,4
c16-10,c16,可信,4
c17,19,,4
c17-1,c17,身份,4
c17-2,c17,系统,4
c17-3,c17,地址,4
c17-4,c17,真实,4
c17-5,c17,用户,4
c17-6,c17,社会,4
c17-7,c17,密码,4
c17-8,c17,GID,4
c17-9,c17,错误,4
c17-10,c17,可信,4
c18,19,,4
c18-1,c18,身份,4
c18-2,c18,真实,4
c18-3,c18,发送者,4
c18-4,c18,地址,4
c18-5,c18,可信,4
c18-6,c18,系统,4
c18-7,c18,社会,4
c18-8,c18,过滤表,4
c18-9,c18,时间,4
c18-10,c18,层面,4
c19,19,,4
c19-1,c19,身份,4
c19-2,c19,系统,4
c19-3,c19,真实,4
c19-4,c19,用户,4
c19-5,c19,隐私性,4
c19-6,c19,社会,4
c19-7,c19,密钥,4
c19-8,c19,算法,4
c19-9,c19,一定,4
c19-10,c19,权限,4
c20,19,,4
c20-1,c20,身份,4
c20-2,c20,真实,4
c20-3,c20,系统,4
c20-4,c20,地址,4
c20-5,c20,用户,4
c20-6,c20,层次,4
c20-7,c20,社会,4
c20-8,c20,溯源,4
c20-9,c20,可验证性,4
c20-10,c20,发送者,4
26,0,5 系统实现,1
c21,26,,4
c21-1,c21,可信,4
c21-2,c21,真实,4
c21-3,c21,上述,4
c21-4,c21,身份,4
