id,parentid,text,value
0,,基于 IPv6 源地址验证的一种可信身份系统,0
1,0,,4
2,0,1 引言,1
3,2,互联网/军事/金融/社会/身份/基础/网络/严重/可信/人类,4
4,2,身份/快捷/网络/机构/基础/可疑/行为/发送者/真实性/方法,4
5,0,2 问题分析,1
6,5,互联网/可信/地址/合法/传统/原因/发送者/广泛/根本/主要,4
7,5,地址/协议/主机/身份/用户/标识/互联网/真实/社会/位置,4
8,5,地址/设备/身份/网络/发送者/一致性/重放/可信性,4
9,5,用户/地址/身份/	/有效/治域/需求/互联网/攻击者/困难,4
10,5,可信/体系/互联网/基础/结构/	/广泛/真实/双方/身份,4
11,5,地址/身份/可信/真实/标识/系统/载体/新/一定/主机,4
12,5,地址/用户/真实/社会/身份/权限/合法/一定/网络/直接,4
13,5,用户/问题/隐私/明确/同时/有效/发送者/真实/身份/机制,4
14,5,身份/真实/发送者/可信/情况/问题/互联网/可验证性/上述/安全,4
15,0,3 相关工作,1
16,15,交换机/方案/五元组/清华大学/SAVI/实时/用户,4
17,15,身份/发送者/跨域/方案/五元组/溯源/网络/真实/管理者/共同,4
18,15,主要/目的/协议/安全性/地址,4
19,0,4 系统设计,1
20,19,用户/真实/身份/目标/可信/上述/隐私/系统/同时,4
21,19,用户/地址/算法/身份/真实/general/用户名/network/社会/可信,4
22,19,身份/系统/地址/真实/用户/社会/密码/GID/错误/可信,4
23,19,身份/真实/发送者/地址/可信/系统/社会/过滤表/时间/层面,4
24,19,身份/系统/真实/用户/隐私性/社会/密钥/算法/一定/权限,4
25,19,身份/真实/系统/地址/用户/层次/社会/溯源/可验证性/发送者,4
26,0,5 系统实现,1
27,26,可信/真实/上述/身份/系统/原型,4
28,26,身份/溯源,4
29,26,5.1 DHCPv6 协议扩展,2
30,29,身份/交互/流程/系统/Digest/用户名/服务器/方案/密码/具体,4
31,29,消息/选项/客户/用户名/信息,4
32,29,密/器会/用户/服务器/字/消息/选项/信息/用户名/客户,4
33,29,服务器/消息/字/客户/对称/算法/用户/密码,4
34,29,用户/服务器/密码/身份/相同/结果/真实/地址/合法/用户名,4
35,29,地址/网段/服务器/消息,4
36,26,5.2 真实可信身份生成算法,2
37,36,身份/算法/真实/可信/私钥/系统/结果/函数/对称/p,4
38,26,5.3 身份溯源系统,2
39,38,身份/系统/验证者/被验证者/真实性/真实/结果/算法/该验证者/权限,4
40,38,主机/真实性/身份/服务器/交互/流程/具体/户名/用户名/权限,4
41,38,主机/公钥/密码/服务器/摘要/私钥/正确/算法/地址/真实性,4
42,38,主机/身份/公钥/流程/交互/具体/用户名/服务器/权限,4
43,0,6 系统评价,1
44,43,6.1 性能评估,2
45,44,身份/流程/地址/环节/真实/可信/系统/传统/延时/简单,4
46,44,对照组/协议/身份/系统/网络/实验组,4
47,44,区间/主机/对照组/实验组/表/地址,4
48,44,平均/实验组/身份/效果/系统/图/对照组,4
49,44,样本/原/系统/身份/对照组/实验组/地址/异方/结果/显著,4
50,44,系统/地址/身份/环境/同一/物理/机器/不同/虚拟机/网络,4
51,43,6.2 安全性,2
52,51,安全性/有效/系统/重放,4
53,51,用户/系统/密码/攻击者/正常/途径/身份/地址/协议/合法,4
54,51,密码/攻击者/特定/长度/GID/地址/成功,4
55,51,攻击者/地址/随意/区/目的端/交换机/密码/直接/依旧/协议,4
56,51,攻击者/子网/用户/合法/不同/直接/同一/地址/域间源/交换机,4
57,43,6.3 隐私性,2
58,57,算法/系统/隐私性/接口/攻击者/用户/能力/过时/身份/作用,4
59,57,算法/长度/身份/可信/系统/真实/性能/时间/q/年,4
60,0,7 结束语,1
61,60,身份/用户/可信/系统/基础/有效/真实/互联网/发送者/同时,4
