id,parentid,text,value
0,,庄子，姓庄，[1]  名周，字子休（亦说子沐），宋国蒙人，[2-21]  先祖是宋国君主宋戴公。[1]  他是东周战国中期著名的思想家、哲学家和文学家。创立了华夏重要的哲学学派庄学，是继老子之后，战国时期道家学派的代表人物，是道家学派的主要代表人物之一。,0
c1,0,,4
c1-1,c1,学派,4
c1-2,c1,名周,4
c1-3,c1,宋国,4
c1-4,c1,庄,4
c1-5,c1,哲学家,4
c1-6,c1,著名,4
c1-7,c1,思想家,4
c1-8,c1,字子,4
c1-9,c1,庄子,4
c1-10,c1,道家,4
c2,0,,4
c2-1,c2,庄子,4
c2-2,c2,老子,4
c2-3,c2,思想,4
c2-4,c2,生平,4
c2-5,c2,自由,4
c2-6,c2,地方,4
c2-7,c2,庄周,4
c2-8,c2,宋国,4
c2-9,c2,作品,4
c2-10,c2,儒家,4
c3,0,,4
c3-1,c3,天宝,4
c3-2,c3,玄宗,4
c3-3,c3,诏封庄,4
c3-4,c3,庄子,4
c3-5,c3,南华山,4
c3-6,c3,哲学,4
c3-7,c3,周,4
c3-8,c3,丰富,4
c3-9,c3,南华,4
c3-10,c3,语言,4
