id,parentid,text,value
0,,欧洲[编辑],0
c1,0,,4
c1-1,c1,欧洲,4
c1-2,c1,维基百科,4
c1-3,c1,自由,4
c1-4,c1,百科全书,4
c1-5,c1,编辑,4
c1-6,c1,相似,4
c1-7,c1,主题,4
c1-8,c1,消歧义,4
c1-9,c1,欧罗巴,4
c2,0,,4
c2-1,c2,人口,4
c2-2,c2,大,4
c2-3,c2,国家,4
c2-4,c2,俄罗斯,4
c2-5,c2,西班牙,4
c2-6,c2,欧洲,4
c2-7,c2,城市,4
c2-8,c2,人,4
c2-9,c2,世界,4
c2-10,c2,语言,4
c3,0,,4
c3-1,c3,山脉,4
c3-2,c3,乌拉,4
c3-3,c3,乌拉河,4
c3-4,c3,欧洲,4
c3-5,c3,里海,4
c3-6,c3,高加索山脉,4
c3-7,c3,黑海,4
c3-8,c3,亚洲,4
c3-9,c3,界,4
c3-10,c3,大西洋,4
c4,0,,4
c4-1,c4,角,4
c4-2,c4,挪威,4
c4-3,c4,西班牙,4
c4-4,c4,欧陆,4
c4-5,c4,大陆,4
c4-6,c4,欧,4
c4-7,c4,亚洲,4
c4-8,c4,马罗基角,4
c4-9,c4,亚,4
c4-10,c4,欧洲,4
c5,0,,4
c5-1,c5,欧洲,4
c5-2,c5,文化,4
c5-3,c5,经济,4
c5-4,c5,实际,4
c5-5,c5,政治,4
c5-6,c5,人们,4
c5-7,c5,不同,4
c5-8,c5,边界线,4
c5-9,c5,观念,4
c5-10,c5,一样,4
6,0,1	名称,1
7,0,2	地理,1
8,7,2.1	地形,2
9,7,2.2	水文,2
10,7,2.3	气候,2
11,0,3	历史,1
12,11,3.1	远古历史,2
13,11,3.2	中古史,2
14,11,3.3	近代史,2
15,0,4	地区,1
16,15,4.1	其他地区和有限承认的国家,2
17,15,4.2	联合国的分区方法,2
18,0,5	政治,1
19,0,6	经济,1
20,0,7	人口,1
21,0,8	民族及语言,1
22,0,9	教育与文化,1
23,22,9.1	古代文化,2
24,22,9.2	科学文化的交流与合作,2
c6,24,,4
c6-1,c6,欧洲,4
c6-2,c6,宗教,4
c6-3,c6,欧,4
c6-4,c6,国家,4
c6-5,c6,亚美尼亚,4
c6-6,c6,丹,4
c6-7,c6,货币,4
c6-8,c6,	性,4
c6-9,c6,刑罚,4
c6-10,c6,毒品,4
c7,24,,4
c7-1,c7,欧洲,4
c7-2,c7,地形,4
c7-3,c7,法国,4
c7-4,c7,地理,4
c7-5,c7,荷兰,4
c7-6,c7,词,4
c7-7,c7,山脉,4
c7-8,c7,欧罗巴,4
c7-9,c7,编辑,4
c7-10,c7,方面,4
c8,24,,4
c8-1,c8,丘陵,4
c8-2,c8,平原,4
c8-3,c8,德国,4
c8-4,c8,多,4
c8-5,c8,欧洲,4
c8-6,c8,山脉,4
c8-7,c8,伊比利亚半岛,4
c8-8,c8,阿尔卑斯山,4
c8-9,c8,方面,4
c8-10,c8,瑞士,4
c9,24,,4
c9-1,c9,冰河,4
c9-2,c9,地形,4
c9-3,c9,多,4
c9-4,c9,丹麦,4
c9-5,c9,半岛,4
c9-6,c9,斯堪地纳维亚,4
c9-7,c9,海,4
c9-8,c9,峡湾,4
c9-9,c9,冰岛,4
c9-10,c9,北欧,4
c10,24,,4
c10-1,c10,欧洲,4
c10-2,c10,莱茵河,4
c10-3,c10,河流,4
c10-4,c10,法国,4
c10-5,c10,塞纳河,4
c10-6,c10,编辑,4
c10-7,c10,卢瓦尔河,4
c10-8,c10,重要,4
c10-9,c10,国,4
c10-10,c10,大河,4
c11,24,,4
c11-1,c11,欧洲,4
c11-2,c11,月,4
c11-3,c11,平均,4
c11-4,c11,气候,4
c11-5,c11,气温,4
c11-6,c11,温带,4
c11-7,c11,冰蚀湖,4
c11-8,c11,芬兰,4
c11-9,c11,冰河,4
c11-10,c11,热,4
c12,24,,4
c12-1,c12,西欧,4
c12-2,c12,洋流,4
c12-3,c12,北欧,4
c12-4,c12,西风,4
c12-5,c12,气候,4
c12-6,c12,区域,4
c12-7,c12,北大西洋,4
c12-8,c12,大,4
c12-9,c12,暖流,4
c12-10,c12,偏差,4
c13,24,,4
c13-1,c13,苔原,4
c13-2,c13,北冰洋,4
c13-3,c13,地区,4
c13-4,c13,地中海,4
c13-5,c13,紧邻,4
c13-6,c13,干冬雨,4
c13-7,c13,大陆性,4
c13-8,c13,南欧,4
c13-9,c13,温带,4
c13-10,c13,副,4
c14,24,,4
c14-1,c14,欧洲,4
c14-2,c14,历史,4
c14-3,c14,英国,4
c14-4,c14,编辑,4
c14-5,c14,巨石,4
c14-6,c14,巨石阵,4
c14-7,c14,世纪,4
c14-8,c14,伦敦,4
c14-9,c14,西欧,4
c14-10,c14,主条目,4
c15,24,,4
c15-1,c15,希腊,4
c15-2,c15,文化,4
c15-3,c15,古,4
c15-4,c15,世纪,4
c15-5,c15,祖先,4
c15-6,c15,战争,4
c15-7,c15,爱琴海,4
c15-8,c15,希腊人,4
c15-9,c15,克里特岛,4
c15-10,c15,伯罗奔尼,4
c16,24,,4
c16-1,c16,罗马,4
c16-2,c16,欧洲,4
c16-3,c16,帝国,4
c16-4,c16,古,4
c16-5,c16,建立者,4
c16-6,c16,政治,4
c16-7,c16,西亚,4
c16-8,c16,亚平宁半岛,4
c16-9,c16,北非,4
c16-10,c16,经济,4
c17,24,,4
c17-1,c17,人,4
c17-2,c17,基督教,4
c17-3,c17,世纪,4
c17-4,c17,罗马,4
c17-5,c17,日尔曼,4
c17-6,c17,东哥德王国,4
c17-7,c17,北欧,4
c17-8,c17,公元,4
c17-9,c17,匈,4
c17-10,c17,东欧,4
c18,24,,4
c18-1,c18,帝国,4
c18-2,c18,罗马,4
c18-3,c18,匈人,4
c18-4,c18,世纪,4
c18-5,c18,德人,4
c18-6,c18,西哥,4
c18-7,c18,奥斯曼,4
c18-8,c18,东欧,4
c18-9,c18,土耳其人,4
c18-10,c18,西欧,4
c19,24,,4
c19-1,c19,时期,4
c19-2,c19,编辑,4
c19-3,c19,清高,4
c19-4,c19,民族,4
c19-5,c19,虔诚,4
c19-6,c19,中古史,4
c19-7,c19,王国,4
c19-8,c19,修士,4
c19-9,c19,廉洁,4
c19-10,c19,封建,4
c20,24,,4
c20-1,c20,帝国,4
c20-2,c20,德国,4
c20-3,c20,曼大帝,4
c20-4,c20,世纪,4
c20-5,c20,法国,4
c20-6,c20,英国,4
c20-7,c20,意大利,4
c20-8,c20,国家,4
c20-9,c20,雏型,4
c20-10,c20,曼帝国,4
c21,24,,4
c21-1,c21,欧洲,4
c21-2,c21,西欧,4
c21-3,c21,南欧,4
c21-4,c21,教会,4
c21-5,c21,十字军,4
c21-6,c21,极大,4
c21-7,c21,人民,4
c21-8,c21,东欧,4
c21-9,c21,天主教,4
c21-10,c21,宗教,4
c22,24,,4
c22-1,c22,法国,4
c22-2,c22,人民,4
c22-3,c22,巴士底,4
c22-4,c22,监狱,4
c22-5,c22,大革命,4
c22-6,c22,近代史,4
c22-7,c22,编辑,4
c22-8,c22,南欧,4
c22-9,c22,国家,4
c22-10,c22,世纪,4
c23,24,,4
c23-1,c23,东正教,4
c23-2,c23,欧洲,4
c23-3,c23,时期,4
c23-4,c23,政教,4
c23-5,c23,宗教,4
c23-6,c23,俄罗斯,4
c23-7,c23,文化,4
c23-8,c23,同一,4
c23-9,c23,西欧,4
c23-10,c23,精,4
c24,24,,4
c24-1,c24,战争,4
c24-2,c24,法国,4
c24-3,c24,西班牙,4
c24-4,c24,荷兰,4
c24-5,c24,英国,4
c24-6,c24,奥地利,4
c24-7,c24,普鲁士,4
c24-8,c24,王位,4
c24-9,c24,德意志,4
c24-10,c24,葡萄牙,4
c25,24,,4
c25-1,c25,法国,4
c25-2,c25,英国,4
c25-3,c25,结果,4
c25-4,c25,战争,4
c25-5,c25,荷兰,4
c25-6,c25,大片,4
c25-7,c25,殖民地,4
c25-8,c25,日,4
c25-9,c25,帝国,4
c25-10,c25,制度,4
c26,24,,4
c26-1,c26,世纪,4
c26-2,c26,欧洲,4
c26-3,c26,英国,4
c26-4,c26,德国,4
c26-5,c26,科技,4
c26-6,c26,意大利,4
c26-7,c26,外界,4
c26-8,c26,进化论,4
c26-9,c26,政治,4
c26-10,c26,帝国主义,4
c27,24,,4
c27-1,c27,欧洲,4
c27-2,c27,一带,4
c27-3,c27,意大利,4
c27-4,c27,空拍,4
c27-5,c27,法国,4
c27-6,c27,世纪,4
c27-7,c27,帝国主义,4
c27-8,c27,战争,4
c27-9,c27,策源地,4
c27-10,c27,大,4
c28,24,,4
c28-1,c28,欧洲,4
c28-2,c28,成员国,4
c28-3,c28,苏联,4
c28-4,c28,社会主义,4
c28-5,c28,组织,4
c28-6,c28,欧盟,4
c28-7,c28,政治,4
c28-8,c28,公约,4
c28-9,c28,国家,4
c28-10,c28,东欧,4
