id,parentid,text,value
0,,欧洲[编辑],0
1,0,欧洲/维基百科/自由/百科全书/编辑/相似/主题/消歧义/欧罗巴,4
2,0,人口/大/国家/俄罗斯/西班牙/欧洲/城市/人/世界/语言,4
3,0,山脉/乌拉/乌拉河/欧洲/里海/高加索山脉/黑海/亚洲/界/大西洋,4
4,0,角/挪威/西班牙/欧陆/大陆/欧/亚洲/马罗基角/亚/欧洲,4
5,0,欧洲/文化/经济/实际/政治/人们/不同/边界线/观念/一样,4
6,0,1	名称,1
7,0,2	地理,1
8,7,2.1	地形,2
9,7,2.2	水文,2
10,7,2.3	气候,2
11,0,3	历史,1
12,11,3.1	远古历史,2
13,11,3.2	中古史,2
14,11,3.3	近代史,2
15,0,4	地区,1
16,15,4.1	其他地区和有限承认的国家,2
17,15,4.2	联合国的分区方法,2
18,0,5	政治,1
19,0,6	经济,1
20,0,7	人口,1
21,0,8	民族及语言,1
22,0,9	教育与文化,1
23,22,9.1	古代文化,2
24,22,9.2	科学文化的交流与合作,2
25,24,欧洲/宗教/欧/国家/亚美尼亚/丹/货币/	性/刑罚/毒品,4
26,24,欧洲/地形/法国/地理/荷兰/词/山脉/欧罗巴/编辑/方面,4
27,24,丘陵/平原/德国/多/欧洲/山脉/伊比利亚半岛/阿尔卑斯山/方面/瑞士,4
28,24,冰河/地形/多/丹麦/半岛/斯堪地纳维亚/海/峡湾/冰岛/北欧,4
29,24,欧洲/莱茵河/河流/法国/塞纳河/编辑/卢瓦尔河/重要/国/大河,4
30,24,欧洲/月/平均/气候/气温/温带/冰蚀湖/芬兰/冰河/热,4
31,24,西欧/洋流/北欧/西风/气候/区域/北大西洋/大/暖流/偏差,4
32,24,苔原/北冰洋/地区/地中海/紧邻/干冬雨/大陆性/南欧/温带/副,4
33,24,欧洲/历史/英国/编辑/巨石/巨石阵/世纪/伦敦/西欧/主条目,4
34,24,希腊/文化/古/世纪/祖先/战争/爱琴海/希腊人/克里特岛/伯罗奔尼,4
35,24,罗马/欧洲/帝国/古/建立者/政治/西亚/亚平宁半岛/北非/经济,4
36,24,人/基督教/世纪/罗马/日尔曼/东哥德王国/北欧/公元/匈/东欧,4
37,24,帝国/罗马/匈人/世纪/德人/西哥/奥斯曼/东欧/土耳其人/西欧,4
38,24,时期/编辑/清高/民族/虔诚/中古史/王国/修士/廉洁/封建,4
39,24,帝国/德国/曼大帝/世纪/法国/英国/意大利/国家/雏型/曼帝国,4
40,24,欧洲/西欧/南欧/教会/十字军/极大/人民/东欧/天主教/宗教,4
41,24,法国/人民/巴士底/监狱/大革命/近代史/编辑/南欧/国家/世纪,4
42,24,东正教/欧洲/时期/政教/宗教/俄罗斯/文化/同一/西欧/精,4
43,24,战争/法国/西班牙/荷兰/英国/奥地利/普鲁士/王位/德意志/葡萄牙,4
44,24,法国/英国/结果/战争/荷兰/大片/殖民地/日/帝国/制度,4
45,24,世纪/欧洲/英国/德国/科技/意大利/外界/进化论/政治/帝国主义,4
46,24,欧洲/一带/意大利/空拍/法国/世纪/帝国主义/战争/策源地/大,4
47,24,欧洲/成员国/苏联/社会主义/组织/欧盟/政治/公约/国家/东欧,4
