id,parentid,text,value
0,,　多年以后，奥雷连诺上校站在行刑队面前，准会想起父亲带他去参观冰块的那个遥远的下午。当时，马孔多是个二十户人家的村庄，一座座土房都盖在河岸上，河水清澈，沿着遍布石头的河床流去，河里的石头光滑、洁白，活象史前的巨蛋。,0
c1,0,,4
c1-1,c1,村庄,4
c1-2,c1,行刑队,4
c1-3,c1,石头,4
c1-4,c1,人家,4
c1-5,c1,上校,4
c1-6,c1,土房,4
c1-7,c1,马孔多,4
c1-8,c1,奥雷连诺,4
c1-9,c1,准会,4
c1-10,c1,河岸,4
c2,0,,4
c2-1,c2,农舍,4
c2-2,c2,东西,4
c2-3,c2,磁铁,4
c2-4,c2,梅尔加德斯,4
c2-5,c2,吉卜赛,4
c2-6,c2,楼,4
c2-7,c2,大,4
c2-8,c2,吉卜赛人,4
c2-9,c2,人,4
c2-10,c2,衣衫,4
c3,0,,4
c3-1,c3,想象力,4
c3-2,c3,狂热,4
c3-3,c3,大自然,4
c3-4,c3,刺耳,4
c3-5,c3,声调,4
c3-6,c3,吉卜赛人,4
c3-7,c3,布恩蒂亚,4
c3-8,c3,创造力,4
c3-9,c3,奇迹,4
c3-10,c3,魔力,4
c4,0,,4
c4-1,c4,布恩蒂亚,4
c4-2,c4,霍,4
c4-3,c4,诚实,4
c4-4,c4,世纪,4
c4-5,c4,梅尔加德斯,4
c4-6,c4,东西,4
c4-7,c4,铠甲,4
c4-8,c4,吉卜赛人,4
c4-9,c4,唯一,4
c4-10,c4,家畜,4
c5,0,,4
c5-1,c5,霍,4
c5-2,c5,放大镜,4
c5-3,c5,望远镜,4
c5-4,c5,妻子,4
c5-5,c5,磁铁,4
c5-6,c5,武器,4
c5-7,c5,布恩蒂亚,4
c5-8,c5,金币,4
c5-9,c5,鱼,4
c5-10,c5,吉卜赛,4
c6,0,,4
c6-1,c6,布恩蒂亚,4
c6-2,c6,霍,4
c6-3,c6,时候,4
c6-4,c6,假设,4
c6-5,c6,赫尔曼,4
c6-6,c6,吉卜赛人,4
c6-7,c6,修道士,4
c6-8,c6,茫茫,4
c6-9,c6,梅尔加德,4
c6-10,c6,完全,4
c7,0,,4
c7-1,c7,布恩蒂亚,4
c7-2,c7,理论,4
c7-3,c7,霍,4
c7-4,c7,马孔多,4
c7-5,c7,圆,4
c7-6,c7,地球,4
c7-7,c7,耐心,4
c7-8,c7,孩子,4
c7-9,c7,乌苏娜,4
c7-10,c7,男人,4
