id,parentid,text,value
0,,类星体 （类似恒星的天体） 编辑,0
c1,0,,4
c1-1,c1,星体,4
c1-2,c1,天文学家,4
c1-3,c1,天体,4
c1-4,c1,恒星,4
c1-5,c1,简称,4
c1-6,c1,魁霎,4
c1-7,c1,编辑类,4
c1-8,c1,类星,4
c1-9,c1,电源,4
c1-10,c1,脉冲星,4
c2,0,,4
c2-1,c2,星体,4
c2-2,c2,类,4
c2-3,c2,天体,4
c2-4,c2,遥远,4
c2-5,c2,距离,4
c2-6,c2,高,4
c2-7,c2,光度,4
c2-8,c2,小,4
c2-9,c2,多,4
c2-10,c2,能量,4
3,0,,4
4,0,1 发现历程,1
5,0,2 命名,1
6,0,3 特征介绍,1
7,0,4 历史研究,1
8,7,,4
9,0,5 红移之谜,1
10,0,6 理论假说,1
11,10,,4
12,0,7 尖端成果,1
c3,12,,4
c3-1,c3,天文学家,4
c3-2,c3,美国,4
c3-3,c3,位置,4
c3-4,c3,奇怪,4
c3-5,c3,艾伦,4
c3-6,c3,光学,4
c3-7,c3,历程,4
c3-8,c3,光谱,4
c3-9,c3,桑德奇,4
c3-10,c3,宽,4
c4,12,,4
c4-1,c4,恒星,4
c4-2,c4,光学,4
c4-3,c4,小,4
c4-4,c4,直径,4
c4-5,c4,光学体,4
c4-6,c4,难,4
c4-7,c4,天文台,4
c4-8,c4,帕罗马,4
c4-9,c4,望远镜,4
c4-10,c4,照片,4
c5,12,,4
c5-1,c5,光谱,4
c5-2,c5,氢原子,4
c5-3,c5,亮,4
c5-4,c5,星系,4
c5-5,c5,连续,4
c5-6,c5,远,4
c5-7,c5,表面,4
c5-8,c5,定律,4
c5-9,c5,非比寻常,4
c5-10,c5,蓝色,4
c6,12,,4
c6-1,c6,类,4
c6-2,c6,光谱,4
c6-3,c6,发射线,4
c6-4,c6,天文学家,4
c6-5,c6,美国,4
c6-6,c6,红,4
c6-7,c6,马丁,4
c6-8,c6,荷兰裔,4
c6-9,c6,施密特,4
c6-10,c6,星体,4
c7,12,,4
c7-1,c7,光学,4
c7-2,c7,类,4
c7-3,c7,恒星,4
c7-4,c7,大,4
c7-5,c7,效应,4
c7-6,c7,速度,4
c7-7,c7,形态,4
c7-8,c7,照片,4
c7-9,c7,本质,4
c7-10,c7,望远镜,4
c8,12,,4
c8-1,c8,射电,4
c8-2,c8,星体,4
c8-3,c8,大,4
