id,parentid,text,value
0,,类星体 （类似恒星的天体） 编辑,0
1,0,星体/天文学家/天体/恒星/简称/魁霎/编辑类/类星/电源/脉冲星,4
2,0,星体/类/天体/遥远/距离/高/光度/小/多/能量,4
3,0,,4
4,0,1 发现历程,1
5,0,2 命名,1
6,0,3 特征介绍,1
7,0,4 历史研究,1
8,7,,4
9,0,5 红移之谜,1
10,0,6 理论假说,1
11,10,,4
12,0,7 尖端成果,1
13,12,天文学家/美国/位置/奇怪/艾伦/光学/历程/光谱/桑德奇/宽,4
14,12,恒星/光学/小/直径/光学体/难/天文台/帕罗马/望远镜/照片,4
15,12,光谱/氢原子/亮/星系/连续/远/表面/定律/非比寻常/蓝色,4
16,12,类/光谱/发射线/天文学家/美国/红/马丁/荷兰裔/施密特/星体,4
17,12,光学/类/恒星/大/效应/速度/形态/照片/本质/望远镜,4
18,12,射电/星体/大/恒星/红移/类/形态/类星/性质/电波源,4
19,12,星体/类/电波/s/天体/同一/电波源/波源/强度/光学,4
20,12,类/星表/波段/电波/可见光/天空/红移/资料/目录/星体,4
21,12,天文学家/银河系/数字/斯隆/中央/项目/英国/月/望远镜/大,4
22,12,科研/中心/质量/天文学家/太阳/宇宙/黑洞/团队/中国/遥远,4
23,12,月/类/星体/夏威夷/天文学家/媒体/凯克/超大/宇宙学家/天文台,4
24,12,星体/类/恒星/世纪/星系/年代/灰尘/背景/微波/脉冲星,4
25,12,电源/光谱/天文学家/光学/对应体/完全/陌生/困惑/视星/位置,4
26,12,星体/类/物质/天体/巨大/能量/巡天/黑洞/大型/质量,4
27,12,星体/类/光线/明亮/大/特点/红移/天体/显著/远,4
28,12,星体/类似/底片/恒星/喷流状/类/星云状/微弱/像/角,4
29,12,星体/发射线/光谱/气体/类/碳/宽/氧/吸收线/镁,4
30,12,星体/光学/连续/类/波段/光谱/辐射/非热/能量/幂律谱,4
31,12,电源/星体/密源/位置/结构/致密/射电/双源/单源/时标,4
32,12,星体/类/大/射电/光学/电源/类星/线红/双源型/发射线,4
33,12,类/星体/大/值/暗/数目/红移/红/多/z,4
34,12,光谱/谱线/星体/类/早/顺序/氢原子/巨大/相似/不同,4
35,12,距离/巨大/红移量/简单/星体/哈勃/定律/z/正比/广义,4
36,12,类/星体/科学家/星系/宇航局/美国/大/规模/远/地球,4
37,12,大学/美国/特拉维夫/哈佛/以色列/科学家/月/自然/杂志/星体,4
38,12,科学家/神秘/罕见/汉妮/类/老师/生物/夜空/德国/天体,4
39,12,天文/美国/学会/月/会议/汉妮/天体/哈勃/望远镜/精细,4
40,12,汉妮/天体/原始/望远镜/图像/地面/天文学家/巨大/光/炙热,4
41,12,类/星系/活跃/巨大/气体云/气体/星体/内核/科学家/黑洞,4
42,12,类/大学/星体/耶鲁/天文学家/美国/Kevin/科学家/中央/汉妮,4
43,12,天体/汉妮/速度/科学家/快/光/天文学家/类/星体/多,4
44,12,望远镜/哈勃/天体/年轻/最新/汉妮/月/图像/恒星群/死亡类,4
45,12,星体/星系/类/影像/电波/绝对星/光度/亮/星/漩涡,4
46,12,速度/子电/结果/星体/巨大/天线阵/VLA/波波段/波源/类,4
47,12,亮点/探照灯/速度/现象/中心/极限/母体/粒子流/云层/类星体,4
48,12,相对论/编辑/结果/谜/电子/能量/红/天文学家/巨大/引力,4
49,12,强引力场/红/地方/远/引力/星系/线/可能性/红移所/长波,4
50,12,星系/局部/类/星体/相同/物质/现象/上述/红移/视线,4
51,12,星系/星体/类/重力/相近/爱因斯坦/漩涡/重大/相同/完全,4
52,12,星体/类/重力/光变/中介/星系/透镜/距离/作用/光度,4
53,12,谱线/Zabs/值/不同/类星体/地球/距离/物质/星/类,4
54,12,星体/类/线/低红/移星系/高红/吸收线/系统,4
55,12,连续/光谱/距离/不规则/星体/光度/光部/非热性/东西/怪,4
56,12,宇宙/整个/星体/星系/光谱/恒星/吸收线/塞佛特/外型/神秘,4
57,12,星系/宇宙/星体/大/能量/星系核/编辑/假/核/理论,4
58,12,星体/类/人们/时间/模型/能源/疑难,4
59,12,星体/类/黑洞/天体/物质/假/白洞/边缘/巨大/巨型,4
60,12,恒星/宇宙/假/大/短寿/类型/新星/现象/质量/极大,4
61,12,星体/星系/类/证据/多/光度/时代/小/实际/高,4
62,12,物质/黑洞/强大/一定/角度/观测者/吸积盘/巨大/引力/方向,4
63,12,星体/类/星系/红移/问题/法/困难/直接/时候/年代,4
64,12,类/星体/星系/红移/物理/星系团/类星体/证据/性质/基系团,4
65,12,星体/类/红移量/红移/成协/星系/不同/光子/吸收线/红,4
66,12,红/观点/类/星体/假/理论/根据/上述/好/非宇宙,4
67,12,星系/宇宙/谱线/普遍/有力/人类/真相/整个/结构/起源,4
68,12,望远镜/宇宙/黑洞/质量/类/星体/我国/超级/成果/中心,4
69,12,天文学家/中国/巨大/级/示意图/黑洞/最新/星体/类/望远镜,4
70,12,,4
71,12,SDSS/星体/布拉姆/维尼曼/博士/Bram/杂志/新闻/栏目/题,4
72,12,新闻/美国/媒体/中国/日报/专题/路透社/华盛顿/新闻网/有线,4
