id,parentid,text,value
0,,亚里士多德《政治学》读书报告,0
1,0,政治学/亚里士多德/希腊/大成者/百科全书/哲学/学者/摘要/政治/人,0
2,0,1．《政治学》中的主要内容以及我的看法,0
3,2,1.1基本观点和对前人的批判,0
4,3,家庭/城邦/亚里士多德/人类/团体/目的/部分/内容/善业/共同体,0
5,3,政体/理想/柏拉图/城邦/政治/亚里士多德/话/人/理想国/集合,0
6,2,1.2对政体的分类方法和对优良政体的探讨,0
7,6,政体/人/亚里士多德/公民/法律/统治者/方式/身份/优良/国家,0
8,6,政体/平民/政治/整体/寡头/共和/详细/中产阶级/重要/亚里士多德,0
9,6,政治学/核心/崇高/历史/亚里士多德/书/部分/地位/大/时代,0
10,2,1.3革命的原因以及建立和维持政体的方法,0
11,10,僭主/政体/权力/	亚里士多德/亚里士多德/小/寡头/平民/一般/原因,0
12,10,详细/政体/方面/平民/亚里士多德/寡头/方法,0
13,2,1.4对于理想城邦的描述,0
14,13,柏拉图/部分/结构/理想国/主题/亚里士多德/弟子/大,0
15,13,亚里士多德/概念/相同/身体/个人/政治/理想/幸福/城邦/诸善,0
16,13,城邦/理想/问题/部分/社会/环境/地理/城墙/条件/交通,0
17,0,2．《政治学》的不足之处和历史局限性,0
18,17,情况/政治学/亚里士多德/部分/政治/理论/不足/处/看法,0
19,17,2.1城邦视角的局限性,0
20,19,城邦/大/政治学/希腊/理想/哲学家/亚里士多德/思想/时期/疆域,0
21,17,2.2人治思想和等级观念等落后思想的残余,0
22,21,亚里士多德/柏拉图/法治/问题/社会/常识感/成熟/中庸/哲学/行文,0
23,21,课程/难得/政治学/报告/书/西方哲学精神探源/句号/多/哲学/学期,0
