id,parentid,text,value
0,,亚里士多德《政治学》读书报告,0
c1,0,,0
c1-1,c1,政治学,0
c1-2,c1,亚里士多德,0
c1-3,c1,希腊,0
c1-4,c1,大成者,0
c1-5,c1,百科全书,0
c1-6,c1,哲学,0
c1-7,c1,学者,0
c1-8,c1,摘要,0
c1-9,c1,政治,0
c1-10,c1,人,0
2,0,1．《政治学》中的主要内容以及我的看法,0
3,2,1.1基本观点和对前人的批判,0
c2,3,,0
c2-1,c2,家庭,0
c2-2,c2,城邦,0
c2-3,c2,亚里士多德,0
c2-4,c2,人类,0
c2-5,c2,团体,0
c2-6,c2,目的,0
c2-7,c2,部分,0
c2-8,c2,内容,0
c2-9,c2,善业,0
c2-10,c2,共同体,0
c3,3,,0
c3-1,c3,政体,0
c3-2,c3,理想,0
c3-3,c3,柏拉图,0
c3-4,c3,城邦,0
c3-5,c3,政治,0
c3-6,c3,亚里士多德,0
c3-7,c3,话,0
c3-8,c3,人,0
c3-9,c3,理想国,0
c3-10,c3,集合,0
6,2,1.2对政体的分类方法和对优良政体的探讨,0
c4,6,,0
c4-1,c4,政体,0
c4-2,c4,人,0
c4-3,c4,亚里士多德,0
c4-4,c4,公民,0
c4-5,c4,法律,0
c4-6,c4,统治者,0
c4-7,c4,方式,0
c4-8,c4,身份,0
c4-9,c4,优良,0
c4-10,c4,国家,0
c5,6,,0
c5-1,c5,政体,0
c5-2,c5,平民,0
c5-3,c5,政治,0
c5-4,c5,整体,0
c5-5,c5,寡头,0
c5-6,c5,共和,0
c5-7,c5,详细,0
c5-8,c5,中产阶级,0
c5-9,c5,重要,0
c5-10,c5,亚里士多德,0
c6,6,,0
c6-1,c6,政治学,0
c6-2,c6,核心,0
c6-3,c6,崇高,0
c6-4,c6,历史,0
c6-5,c6,亚里士多德,0
c6-6,c6,书,0
c6-7,c6,部分,0
c6-8,c6,地位,0
c6-9,c6,大,0
c6-10,c6,时代,0
10,2,1.3革命的原因以及建立和维持政体的方法,0
c7,10,,0
c7-1,c7,僭主,0
c7-2,c7,政体,0
c7-3,c7,权力,0
c7-4,c7,	亚里士多德,0
c7-5,c7,亚里士多德,0
c7-6,c7,小,0
c7-7,c7,寡头,0
c7-8,c7,平民,0
c7-9,c7,一般,0
c7-10,c7,原因,0
c8,10,,0
c8-1,c8,详细,0
c8-2,c8,政体,0
c8-3,c8,方面,0
c8-4,c8,平民,0
c8-5,c8,亚里士多德,0
c8-6,c8,寡头,0
c8-7,c8,方法,0
13,2,1.4对于理想城邦的描述,0
c9,13,,0
c9-1,c9,柏拉图,0
c9-2,c9,部分,0
c9-3,c9,结构,0
c9-4,c9,理想国,0
c9-5,c9,主题,0
c9-6,c9,亚里士多德,0
c9-7,c9,弟子,0
c9-8,c9,大,0
c10,13,,0
c10-1,c10,亚里士多德,0
c10-2,c10,概念,0
c10-3,c10,相同,0
c10-4,c10,身体,0
c10-5,c10,个人,0
c10-6,c10,政治,0
c10-7,c10,理想,0
c10-8,c10,幸福,0
c10-9,c10,城邦,0
c10-10,c10,诸善,0
c11,13,,0
c11-1,c11,城邦,0
c11-2,c11,理想,0
c11-3,c11,问题,0
c11-4,c11,部分,0
c11-5,c11,社会,0
c11-6,c11,环境,0
c11-7,c11,地理,0
c11-8,c11,城墙,0
c11-9,c11,条件,0
c11-10,c11,交通,0
17,0,2．《政治学》的不足之处和历史局限性,0
c12,17,,0
c12-1,c12,情况,0
c12-2,c12,政治学,0
c12-3,c12,亚里士多德,0
c12-4,c12,部分,0
c12-5,c12,政治,0
c12-6,c12,理论,0
c12-7,c12,不足,0
c12-8,c12,处,0
c12-9,c12,看法,0
19,17,2.1城邦视角的局限性,0
c13,19,,0
c13-1,c13,城邦,0
c13-2,c13,大,0
c13-3,c13,政治学,0
c13-4,c13,希腊,0
c13-5,c13,理想,0
c13-6,c13,哲学家,0
c13-7,c13,亚里士多德,0
c13-8,c13,思想,0
c13-9,c13,时期,0
c13-10,c13,疆域,0
21,17,2.2人治思想和等级观念等落后思想的残余,0
c14,21,,0
c14-1,c14,亚里士多德,0
c14-2,c14,柏拉图,0
c14-3,c14,法治,0
c14-4,c14,问题,0
c14-5,c14,社会,0
c14-6,c14,常识感,0
c14-7,c14,成熟,0
c14-8,c14,中庸,0
c14-9,c14,哲学,0
c14-10,c14,行文,0
c15,21,,0
c15-1,c15,课程,0
c15-2,c15,难得,0
c15-3,c15,政治学,0
c15-4,c15,报告,0
c15-5,c15,书,0
c15-6,c15,西方哲学精神探源,0
c15-7,c15,句号,0
c15-8,c15,多,0
c15-9,c15,哲学,0
c15-10,c15,学期,0
