id,parentid,text,value
0,,地形[编辑],0
c1,0,,4
c1-1,c1,地形,4
c1-2,c1,欧洲,4
c1-3,c1,法国,4
c1-4,c1,荷兰,4
c1-5,c1,山脉,4
c1-6,c1,方面,4
c1-7,c1,地区,4
c1-8,c1,安道尔,4
c1-9,c1,平原,4
c1-10,c1,西班牙,4
c2,0,,4
c2-1,c2,丘陵,4
c2-2,c2,平原,4
c2-3,c2,德国,4
c2-4,c2,多,4
c2-5,c2,欧洲,4
c2-6,c2,山脉,4
c2-7,c2,伊比利亚半岛,4
c2-8,c2,阿尔卑斯山,4
c2-9,c2,方面,4
c2-10,c2,瑞士,4
c3,0,,4
c3-1,c3,冰河,4
c3-2,c3,地形,4
c3-3,c3,多,4
c3-4,c3,丹麦,4
c3-5,c3,半岛,4
c3-6,c3,斯堪地纳维亚,4
c3-7,c3,海,4
c3-8,c3,峡湾,4
c3-9,c3,冰岛,4
c3-10,c3,北欧,4
c4,0,,4
c4-1,c4,欧洲,4
c4-2,c4,莱茵河,4
c4-3,c4,河流,4
c4-4,c4,法国,4
c4-5,c4,塞纳河,4
c4-6,c4,编辑,4
c4-7,c4,卢瓦尔河,4
c4-8,c4,重要,4
c4-9,c4,国,4
c4-10,c4,大河,4
c5,0,,4
c5-1,c5,欧洲,4
c5-2,c5,月,4
c5-3,c5,平均,4
c5-4,c5,气候,4
c5-5,c5,气温,4
c5-6,c5,温带,4
c5-7,c5,芬兰,4
c5-8,c5,冰蚀湖,4
c5-9,c5,冰河,4
c5-10,c5,热,4
c6,0,,4
c6-1,c6,西欧,4
c6-2,c6,洋流,4
c6-3,c6,北欧,4
c6-4,c6,西风,4
c6-5,c6,气候,4
c6-6,c6,区域,4
c6-7,c6,北大西洋,4
c6-8,c6,大,4
c6-9,c6,暖流,4
c6-10,c6,偏差,4
c7,0,,4
c7-1,c7,地区,4
c7-2,c7,苔原,4
c7-3,c7,北冰洋,4
c7-4,c7,地中海,4
c7-5,c7,紧邻,4
c7-6,c7,干冬雨,4
c7-7,c7,大陆性,4
c7-8,c7,南欧,4
c7-9,c7,温带,4
c7-10,c7,副,4
