id,parentid,text,value
0,,亚里士多德《政治学》读书报告,0
1,0,,4
2,0,1．《政治学》中的主要内容以及我的看法,1
3,2,1.1基本观点和对前人的批判,2
4,3,家庭/城邦/亚里士多德/人类/团体/目的/部分/内容/善业/共同体,4
5,3,政体/理想/柏拉图/城邦/政治/亚里士多德/话/人/理想国/集合,4
6,2,1.2对政体的分类方法和对优良政体的探讨,2
7,6,政体/人/亚里士多德/公民/法律/统治者/方式/身份/优良/国家,4
8,6,政体/平民/政治/整体/寡头/共和/详细/中产阶级/重要/亚里士多德,4
9,6,政治学/核心/崇高/历史/亚里士多德/书/部分/地位/大/时代,4
10,2,1.3革命的原因以及建立和维持政体的方法,2
11,10,僭主/政体/权力/	亚里士多德/亚里士多德/小/寡头/平民/一般/原因,4
12,10,详细/政体/方面/平民/亚里士多德/寡头/方法,4
13,2,1.4对于理想城邦的描述,2
14,13,柏拉图/部分/结构/理想国/主题/亚里士多德/弟子/大,4
15,13,亚里士多德/概念/相同/身体/个人/政治/理想/幸福/城邦/诸善,4
16,13,城邦/理想/问题/部分/社会/环境/地理/城墙/条件/交通,4
17,0,2．《政治学》的不足之处和历史局限性,1
18,17,情况/政治学/亚里士多德/部分/政治/理论/不足/处/看法,4
19,17,2.1城邦视角的局限性,2
20,19,城邦/大/政治学/希腊/理想/哲学家/亚里士多德/思想/时期/疆域,4
21,17,2.2人治思想和等级观念等落后思想的残余,2
22,21,亚里士多德/柏拉图/法治/问题/社会/常识感/成熟/中庸/哲学/行文,4
23,0,总结,1
24,23,课程/难得/政治学/报告/书/西方哲学精神探源/句号/多/哲学/学期,4
